time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p40,p42,p43,p44
0,0.5984330725437768,0.7809005309517494,0.60513416303039,0.5790186788038318,0.9528836540644425,0.5059635695916316,0.79004924974043,0.3807029514541216,0.4874287269216174,0.5292645606616875,0.36319643109835675,0.7277418189821074,0.8171968201699151,1.355061438563254,0.8927304264008343,0.885346250338392,0.6966004180286314,0.4819569711637296,0.3328519917744104,0.7318923034977144,0.8130906355076313,0.7394003955863484,0.711957658318498,0.7320194061609296,0.4144081004987778,0.41316575310788817,0.6100312965806497,1.0874215824423876,1.0257063507377016,0.6279886633247623
5,1.1349879277584995,1.5658346646366073,0.5282690866418227,0.656756635648864,1.2499716960039509,1.0163872997780747,0.797515304081154,0.8800757872256695,0.5684260467757114,0.7475432753822903,0.7366446247901818,0.5046867440895092,0.9198030178181144,1.179303765999548,0.17359092120608768,1.1375811181628526,1.1905307577509134,0.7598116488486945,0.43342046216542157,0.7277611311429504,0.9464037847490425,0.5047126526740426,1.2923849339837772,0.8693856933738064,0.7193968261685221,0.8313565869037621,1.255485456187008,0.7207591416420287,1.3601215541571676,0.7133895549745615
10,1.6575246299410018,1.9176588547518,1.2334511964246861,2.168586109843472,1.482359635473582,0.8980740394410288,0.6047761100245388,1.643998512210116,0.7599818979659212,0.9377631903600202,0.9570022508628057,0.545114121255302,0.6490916264583235,1.1337406194041102,1.0832402486189268,1.451818045183768,1.213740769805792,1.1755748031318172,1.6554123351288819,1.858606101653362,1.0184178914824034,1.734167401219094,1.3034519342234236,1.271971454834016,0.6549771952975978,0.9731932723092143,1.311112172219302,1.0740321558662782,1.59007489052989,0.9800159748817492
15,1.6725635827187042,1.646038591913112,1.087491337644097,2.16989522330345,1.616030018462266,0.9694084925238883,1.871763275970236,1.4384591724782279,0.883389619475604,0.9886228801658872,0.8775472896491552,1.323623698307528,1.0513915983299316,1.325335051657662,1.486819953601188,1.565533637875216,1.1564991005513139,0.9777512019266841,1.1158443529220443,1.8078863703556682,1.57669221554452,1.52802514497477,1.2994606089727279,1.251829762496174,0.8496846389869486,1.3779961548734458,1.2978154184003299,1.225482119440972,1.421773558721344,1.0593488725871243
20,1.6947882985429001,2.192126598820542,1.5849749731036842,3.058836300990516,1.888267512047222,1.2717594302408985,1.708847241567574,2.214684639224518,1.558764555456466,1.700689424204762,1.3001777145765308,1.3496723485239879,1.502738426071792,1.46336232824917,1.704712602557364,1.851610193979716,1.581629535148804,1.160013923573424,1.590555967227502,2.357565452964002,1.40526783699712,1.8397220721692258,1.7945415333893942,1.68533746809605,0.7982891693715584,1.4574703003285199,1.841611973151558,1.536005462039432,1.90696355555726,1.458953901389504
25,2.035351595521438,2.7560500350544883,2.274844667256152,3.6336577990760177,2.869526936798076,1.94664265620764,2.2833129990058603,2.78592967143815,2.30396874014673,2.127392783686836,1.642766469272686,1.782832853513278,1.8029538932184639,2.006756855398076,2.4089168435971082,2.788245028276718,2.516574719974448,1.374220396532594,2.087676265392754,3.5171960908861037,1.686414042083232,2.6515167654817757,2.367549322357582,1.859546429989178,0.7798994745929713,1.7990287342174,2.30540656831107,2.163625481643768,2.350521490902768,2.104398009922798
30,2.5621968528661783,3.1655858025691197,2.603102731767708,3.958842711548806,3.3311532390724437,2.198382230463186,2.9721226236688763,3.362083214270604,2.738069182370808,2.391641430010914,1.953518134541742,2.292725884749726,2.036825155702256,2.729087258062064,3.08549601483521,3.9935801835602502,2.705001548450304,1.6575558602501221,2.343626569499842,3.87899571971831,2.231510484996278,2.8276612057512898,2.7304898853635082,2.321944387815714,0.8588264577001207,2.4465725849912783,2.68774501237342,2.38056224433598,2.823792695122486,2.91684253359488
35,2.9573785459502417,3.3273829296375625,2.780211799643202,4.177885981258396,3.62292943815853,2.506827593636454,3.685917127855896,3.7893401749175744,2.7318597110608698,2.5493787240448578,2.1566407965001537,2.821597358311794,2.71630925874792,3.2201611025258723,3.233805904113246,4.083471380847688,2.839981791183554,1.8053300320888819,2.667053579836412,4.10970596516719,2.471983134881694,3.1216066102642643,2.825816102904592,2.585604798202554,0.477958791289256,2.255668153470288,3.125597752914776,2.574517329745198,3.0743065589435856,3.365634551248496
40,3.2756334371211535,3.448557122193562,2.875080801818834,4.293439708574916,4.039818561803778,2.52857389395581,3.727407820626786,4.212960858146338,2.7831225053067796,2.732029624550816,2.30706971335542,3.3370702090949464,2.911971238648198,3.4327703341962783,3.4345559619650303,4.172219586833034,3.0452090189085217,1.917796567580854,2.629075973168966,4.262947748700528,2.660750674397944,3.095601590775306,3.075453725519138,2.6719259358566463,1.0457932835901473,2.3273558934753757,3.350478428851892,2.655201074897684,3.248419208392334,3.5100130751551064
45,3.5593689371973243,3.523384163921692,2.976856741004852,4.372741177803092,4.146336191223196,2.671070674391406,3.885398322417882,4.0120568579983615,2.819310859305234,2.846057515724256,2.369678763689988,3.204551268944944,2.9866523649969823,3.3335591757431424,3.5831641263154976,4.439495261484362,3.1736209289162183,2.17686004108244,2.827508370919118,4.392804987558742,2.9862522126787003,3.21486566253913,3.043440761846756,3.0034734685487523,1.2306717104109839,2.3970592448576915,3.4838287344428402,2.7204369037718843,3.3575693750623303,3.47946946417119
50,3.6879868792466084,3.664817071860766,2.980051785110072,4.38767576617851,4.337507676238954,2.9004250975160724,4.000690628996066,4.365891787376851,2.858113193745946,2.822644072895334,2.398943312861454,3.3643797855924262,3.0826250729045563,3.516708716161806,3.651434896320622,4.600679191811944,3.2757442602724702,2.239780726417856,2.9043123893239917,4.464953319067952,3.030999551236678,3.2411947356810975,3.108476719434972,3.001668719674588,1.5360334250221699,2.47543840148352,3.4750553794530177,2.8845511850650682,3.4307807348592165,3.5679508228062757
55,3.929551702354538,3.6523528790337942,3.012789723411572,4.6212961936293295,4.511911996055703,2.963711559994616,4.0378989153356795,4.344404441696764,2.946790466613994,2.909600337757614,2.450461723572158,3.189323755839646,3.3218501245231336,3.7920824178969497,3.701840475818252,4.728966303117116,3.260124347603432,2.270461788855098,2.934633040655084,4.42742587853851,3.2168164840141884,3.216902393369962,3.136132066108492,3.280891736496384,1.465677487791992,2.329502408319674,3.463829563696194,2.871641912268176,3.4718809039979517,3.662169182993434
60,3.942892988628702,3.8147927818607696,3.016848172935466,4.635075556236614,4.341479379662632,2.9754158127853323,4.2224373507382325,4.345010828931634,2.940327724439106,2.901271295661278,2.478139384238768,3.380155612220596,3.2270166441784283,3.7984346890358083,3.863630242145576,4.868189698272978,3.2327941178612902,2.412448558978616,2.912123531212396,4.598220270193066,3.249500685198498,3.392801611043282,3.2588473769800843,3.488561196419616,1.7583231857512878,2.806863146263594,3.662141578674766,2.8445546210376818,3.669652621440914,3.5720730675198835
65,4.17672766533982,3.8608451416256444,3.022525470437944,4.978053504141318,4.4838342427666635,3.1464885137090937,4.297526046697383,4.3285687171947345,2.89946124524575,2.972354322519042,2.4786315918297297,3.5931323989062918,3.1694093061066537,3.804578613189208,3.8521504703178477,4.8564704659265825,3.464209542278444,2.361779116352036,3.010582194769924,4.551222222123281,3.287149192655746,3.402735686757768,3.212247879291328,3.524872142005344,1.770620019275238,2.5478583109381203,3.618433362899386,2.85830795409444,3.7885841508685116,3.858427890341808
70,4.188687701726864,3.864823086829438,3.13822528664926,4.694347864801058,4.7110242140715375,3.123133121097004,4.32634926883303,4.564385702510854,3.023529459581574,2.997777990848234,2.466335337366928,3.4455637447958396,3.2041752961490557,3.89890400430143,4.0220881075382025,5.030851788961618,3.4310343885353243,2.407299332947478,3.043154619753832,4.56564984349027,3.3219341103847904,3.3241902833099957,3.194651988485444,3.799731772823038,1.930921119211004,2.42012503508626,3.6459224410232878,2.803936738837792,3.721485045346694,3.8913703670319904
75,4.463976653051038,3.722084603637552,3.133835207583516,4.675484178418526,4.4880258730341955,2.794365393075104,4.428905971814471,4.309126951558576,2.9565645339009583,3.019073728188512,2.58328517510176,3.379927830143054,3.164200837608956,3.8794986695237794,3.97962007337035,5.019587399981674,3.348237584698038,2.427228283997728,2.947081766325464,4.572718359934852,3.40727352854067,3.3069085732886903,3.126520085763586,3.8033325274839456,2.344417743752866,2.65147561065204,3.8309422555724963,2.788798764023576,3.74962971883505,3.9350024717983203
80,4.301372049666494,3.8622382724956337,3.114592004586492,4.704340952727186,4.627082149269272,3.385804044695302,4.368656360598896,4.544365184591736,2.959706638526754,3.00617424624996,2.583261156569894,3.6618644848047404,3.2079401764026683,4.373070212263186,3.9989170457623957,4.997929747122965,3.444462061572222,2.36135303634855,3.080628154473652,4.714165289376735,3.485522920148122,3.322852522365756,3.186914484565282,3.779772772127444,2.37368037930163,2.444919032899726,3.70873569395865,2.805930974291578,3.771132810317418,4.046501418767642
