time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p31,p32,p33,p35,p36,p38,p40,p42,p43,p44
0,0.5983471609858871,0.7808994238548612,0.6051015046350697,0.5789777914753103,0.9527917459549886,0.5059541548655409,0.7900118370000917,0.3806588026272609,0.4874131504884822,0.5292354165845987,0.3632046813327606,0.7277334669542672,0.8172178871712679,1.3550783995604752,0.892687095940171,0.8853013993623773,0.6965330404134725,0.3328231691884314,0.7319164178938566,0.813081416329297,0.7119824207995963,0.7319369132420664,0.41326699058823585,0.6100359142538333,1.0874312792181104,1.0256876412178038,0.6278964791923597
5,1.1645808984843986,1.3846890961964649,0.7421816814050024,1.1000906263218904,1.1958261325207624,0.7718330654238529,0.7789085393137481,0.929940951200624,0.5320339497988712,0.67898006001443,0.6587003844303225,0.6130356382022727,0.7661542140075938,1.2072088378934693,0.7052351118060417,1.1315023905541843,0.9734967612999982,0.783541525965635,1.0571291302929513,0.965483779645898,1.0591716441815298,0.9412497924412402,0.7533448423646585,1.0261825436978227,0.919563495632043,1.2878477862270026,0.7463904118167821
10,1.5303381605403683,1.7457939480487534,0.9365993589672644,1.7111945948304725,1.401134791446207,0.9300146439639331,0.972022440137458,1.3614559474072148,0.676025757136296,0.8756434080882478,0.8687218170821328,0.7125018741267004,0.8243607202205712,1.1401823892776872,0.8380931774596189,1.3177278663932408,1.1513320853104616,1.1360460579960436,1.4438275024831548,1.1410811763057505,1.2874490338071711,1.1444002712586163,1.034351913594228,1.2983445028008884,0.9452230233791392,1.4608341477575704,0.8749778730345995
15,1.6813265157561115,1.940790837964578,1.2407023432014845,2.3882236567063937,1.6573322715937386,1.073932767281511,1.369681494054943,1.7248901221343154,1.02772549308555,1.1874124243313515,1.0398687229333736,1.0221782517585447,1.045132584522373,1.2302958512369169,1.293354521948901,1.5611164358404492,1.348338813846793,1.3919981264553738,1.9474015955548718,1.3269485198384479,1.4863709587769325,1.3589728549610691,1.2785367150940508,1.4977571176018238,1.2139857166420853,1.6154386497748208,1.0944796475925855
20,1.797767466057092,2.2226522939588,1.6743863194501587,3.0409381233352506,2.0939879939244768,1.3684302733453608,1.8618229077422441,2.1722154693104683,1.5987647084891496,1.619496716992038,1.280939073809248,1.4135009922429214,1.392552918088892,1.54320817714392,1.8818393330272671,2.0729300640450963,1.7345178264152052,1.6581335436045608,2.5927588730708964,1.5272755456209381,1.8175791680319824,1.6202182368259654,1.5633271456433777,1.7973589333337625,1.6363214287001742,1.897120460559436,1.5191232066600298
25,2.0636797045861286,2.6627908665614934,2.1656827599907698,3.5870283188257117,2.692142284624608,1.8054752924082391,2.4092023519759747,2.7536802424167166,2.2174902278005133,2.063401486320491,1.6090805615685706,1.842221276515498,1.795336514078389,2.0751632528211097,2.460656381964198,2.865442660177374,2.2547956681781316,2.0006227387631688,3.290046223834508,1.7883886191653504,2.2694437604361846,1.9379679479753873,1.9042216070329299,2.2412116350103557,2.0680119632449783,2.326708916029866,2.156138878079946
30,2.4888468815117073,3.0959312797712744,2.5722819254824243,3.971859796322453,3.2789762507426015,2.212827783902457,2.9931481090301126,3.353622671040425,2.6483669315420437,2.3988704727524097,1.934986482143597,2.3349326567511297,2.208838343448593,2.683269326302304,2.94587659896115,3.65059487754685,2.691678393899573,2.3477899962522812,3.850605421219466,2.119229138572968,2.6767695728577414,2.2683350164739564,2.2015446350452974,2.722361539025389,2.390401964495338,2.7714550087343146,2.8319997439140026
35,2.9404365462202473,3.365086150490409,2.809919649902625,4.1890705765664205,3.7153085879700005,2.4650594912020987,3.4975513189652077,3.8166906214443976,2.8095111125734262,2.603875724871225,2.171805361781839,2.8317131864209593,2.5872061701355076,3.151097333254494,3.2788338308563687,4.136100192411025,2.939185230046676,2.5950699818746155,4.167259508151908,2.4540539200983473,2.922601306180591,2.548474855822951,2.35162298760935,3.113841507388588,2.573541314505122,3.0938702933296702,3.317530029485018
40,3.301149053485073,3.478363251095609,2.91212340288948,4.287650012348291,4.000247436434786,2.5941873775633697,3.8005217829969697,4.083082386208751,2.8143204085793174,2.7268029130871025,2.3049640115332135,3.182144714882091,2.869626718645317,3.378766468320343,3.4647675204508337,4.32560042036894,3.0652426762196554,2.7309319002468913,4.3011897017281555,2.7283305663803397,3.0242110061177,2.755390558197765,2.3729695593491598,3.3543348919996463,2.6738914532700027,3.264923315457434,3.5262757575356667
45,3.5500268796655505,3.536881875079205,2.954898075946267,4.3464500262590064,4.194612734313057,2.702395479397552,3.9209625468180413,4.206760303104751,2.812867492279897,2.80604296759309,2.3719919804376883,3.3095479587557652,3.0438180359860327,3.4649499100335284,3.566281946969701,4.424052096181897,3.154160162625587,2.8120423322526964,4.3695277202944425,2.9324241973645693,3.0637286800965655,2.9174296874439882,2.3706117500608035,3.458071665174814,2.756514285329726,3.346659807561734,3.5550533914090603
