time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p31,p32,p33,p35,p36,p38,p40,p42,p43,p44
0,0.5949903718188994,0.42725885738646285,0.8614525131280105,0.8284832151589319,1.002790604017596,0.8243193374900297,0.8249995913426486,0.7389184453443736,0.5037720507906869,0.5678047160613031,0.7272263904010563,0.9310037748341496,0.15373415437323928,1.111758129045164,1.017207910979165,1.0748346045188755,0.8152695218914695,0.33827323916195423,0.8116794797028929,0.9706603284345826,0.5958131891544993,0.7473648337228039,0.5015531728495211,0.6518469503446943,0.4880030708417879,0.6020238889424484,0.942037198297625
5,1.0770444046161125,1.536083043504933,1.0469430545308716,0.8746090530411396,1.2141336573344361,0.7459795029121803,0.6731508467502382,1.0523405879876533,0.5624743167921941,0.8008326209581456,0.6910254894178979,0.6806277278239893,0.8543103430948549,1.1620560378589704,0.8844816082532458,1.1230056324952886,0.8325053015051239,0.35531409658945046,1.0722702969192415,0.961213537347666,1.1602635946922422,0.9188442361895507,0.8836753526659376,0.7181831578964704,0.5656019269366115,1.0331308828911698,1.0123312687102695
10,1.3849152409240921,1.917377891124707,1.2159125827079396,1.3673970972368261,1.5270274429373696,0.8839826257278423,0.8128564470164533,1.3924884897874905,0.8442749749435396,1.041455345023762,0.8370416861676144,0.7945928014058973,1.2283729570266748,1.3694891798216902,1.0072798618033008,1.319730481728248,1.1272637381098543,0.6745296425504287,1.3953733367778391,1.1451789550941363,1.457471908584412,1.1146255854102902,1.086824222738973,0.9898599552017752,0.8543668285463586,1.3281893703890701,1.1245066392099905
15,1.5987336064081323,1.9222242534391156,1.3879367776821994,2.0846115618210943,1.9261559202758787,1.1837308622696423,1.175864984167113,1.7805424795230074,1.2494567833221109,1.2983182590067044,1.091896653157054,1.1286005621314354,1.4321239762702376,1.6945129145648037,1.3246695570669218,1.6221143989461937,1.583490143314772,1.1433007451583412,1.784674977219817,1.4199956477068307,1.6308070876344134,1.3296338262779648,1.2216023976675832,1.3772333724782901,1.2583301937719644,1.5641120533016026,1.301328583684187
20,1.8923353597660133,2.066846908832003,1.5895502584306835,2.6882141091289498,2.4769414997782797,1.6079204456907934,1.7349318228829875,2.3209192337192954,1.6563733384055574,1.591085066659596,1.4083222243118236,1.5158244455015215,1.7201742547745578,2.104587122521411,1.792436371553228,2.033404281917347,2.08936215601525,1.5660789522771887,2.297133964146094,1.642372774051953,1.9089942011486933,1.5795774524107637,1.4907641466999115,1.7829547330400763,1.6834818760347696,1.837801086849912,1.5863431814630744
25,2.0350108044055784,2.4190095673695056,1.8487665549938466,3.1931322282040604,2.8773803301167873,2.0291075553252926,2.301044631910054,2.810071425088792,1.936926735113685,1.9141764771114245,1.5557550969543317,1.802614315302888,2.0571116438823265,2.5538848605116478,2.280362013280845,2.2598394195168092,2.4237491040171895,1.7919973010956936,2.77783176957892,1.7565362740520227,2.275604972796418,1.7502969234308248,1.812511264522115,2.0773461026053486,1.9519956397866596,2.2451446727360143,1.9873606163378674
30,2.482693098867736,2.853145663228495,2.16048562391275,3.745275894849113,3.3958813612431182,2.405645103285128,2.7547595648897847,3.27761955511359,2.2883596103446044,2.211368673387131,1.775047807912115,2.0531326552073215,2.3648864257515516,2.882043362352791,2.8055240048634373,2.763048410749898,2.764702750267651,2.028257960577098,3.3331929549252726,1.8919688037410232,2.617604845687673,2.0775241741875603,2.0722673449422255,2.4030576752385455,2.2076484578728093,2.649940254130396,2.4682178596343083
35,2.890980678124366,3.1510095507806644,2.4540334996554285,4.047891300200864,3.89238184956126,2.612210085829061,3.3402791360889283,3.5892785136088934,2.508212012961293,2.3915780265759476,1.9457325857793049,2.4079876733192447,2.5990788906083186,3.184748195209942,3.081290199592296,3.217091261013412,2.9323550912429046,2.302153905872191,3.6872415759770063,2.180157821592834,2.76782050743991,2.3554422782539164,2.2797251871763136,2.728482001780757,2.414270620557315,2.935920694944709,2.8817768887402013
40,3.137750228917364,3.35831872924898,2.633566289357899,4.167197650570448,4.159971065880666,2.725583153006776,3.746148398098418,3.8026732083016146,2.6707055076323116,2.556730487904935,2.092881085867249,2.590707528319405,2.8262728515064763,3.38127816774111,3.2724715219947353,3.614488893834906,3.0448669836438214,2.490188400599244,3.8327748792089062,2.5119861404970485,2.8730802274750227,2.546360516135448,2.3315548990207535,3.010337342687269,2.515099527122543,3.1359892568862997,3.0884932378131102
45,3.3594027995994513,3.3185368896407437,2.7663635319383184,4.2798594504387655,4.341743214118727,2.8476625386549053,3.9278036644413503,3.9225395602558333,2.801692126361777,2.6472285493845957,2.217151864457977,2.772092790788522,2.9341946561356003,3.599716283232555,3.410280501330413,3.7835332915542104,3.077697220169003,2.6358647897675445,3.9616949230655467,2.6814347716718308,2.9695523219946,2.760684938758421,2.309890789141389,3.1733119754984114,2.6137508629724713,3.2743676423680657,3.234072517795804
