,sg,sg,sg,sg,sg,sg,sg,bw,bw,bw,bw,bw,bw,bw,cleaned,cleaned,cleaned,cleaned,cleaned,cleaned,cleaned
,A0,A1,tau1,TD1,A2,tau2,TD2,A0,A1,tau1,TD1,A2,tau2,TD2,A0,A1,tau1,TD1,A2,tau2,TD2
p01,1.1196914944663838,3.480344336802454,26.758657742443866,13.365157827751158,1.0970566196630992e-09,299.9996364769396,236.2162558536834,1.0977554098001427,3.4996241036774056,26.637486520910965,13.302641606229958,8.31235597681866e-08,285.1602446985782,239.6441622107494,1.1303303396525923,3.4674769586827168,26.411161797629216,13.845828312397536,5.576769452695161e-09,299.9995048146486,239.86067078048796
p02,1.360427453333168,2.490962357707786,15.893833715920456,11.581090104768966,0.13765827266477887,10.000000000000158,174.25534332959785,1.3037941558695936,2.546918582601096,15.683459960992982,11.461607776307604,0.13147024336205326,10.000000000000048,174.27083839797476,1.4214663494555289,2.4203882507513215,13.880387870412651,13.897221138591535,0.26395528254088635,74.92244546465436,160.00000062313575
p04,0.6346155578660789,2.553238015030548,16.660711251004813,8.971590756512413,0.0946714134815753,245.02830731073146,140.00002100023585,0.7612948941480038,2.3593757429940494,12.705963646966218,12.605797733462454,0.09652833445162375,52.73787193435417,65.00000634944662,0.7889514740434472,2.329417597053089,11.755591471795467,13.740460327566108,0.1409141626330434,125.78068533443967,59.999959028534064
p07,0.7517777809111594,4.095393065799763,16.953088032996437,5.752575048212638,0.04120119866474097,284.0353481926029,164.9999330820457,0.8395342088119913,4.008109032704195,16.97592725173009,6.073139919397706,0.012040940012792711,283.388339726332,164.99554898207273,0.5793003378169793,4.271579509197083,17.559497984869804,4.211304251049813,2.2685629313049792e-05,299.9990776032306,239.99767797160706
p08,1.2009432829636497,3.5624379039170706,18.851028208838706,13.218740162196912,0.8925229398815732,108.49248634996654,117.72682415661761,1.1832508951793603,3.577495453624101,18.6024686222972,13.306158982665167,0.8576133893829488,99.28283471428814,118.68599920673951,1.2284049855613257,3.524574588685785,18.06374634482033,13.973732721450121,0.8178655133695978,89.61171547692759,118.72000391247597
p09,0.78230004277991,2.4332847524029484,19.54304969942882,13.240403449108538,1.730347248454095e-05,299.99265330700024,239.9797107849135,0.7359331721875394,2.4766326202442905,19.234793798927637,13.083558156719436,3.8463476721222345e-06,299.9984162103538,239.99467800364098,0.8068083024537472,2.4046503868790157,18.48877534265426,14.31144234503287,2.2310780862429596e-06,299.99999277227624,239.99997690372157
p15,0.8289075456433797,3.735897881726335,19.653693873928876,12.689253004310437,0.5946208999651549,144.85002333871523,110.62854933731718,0.8469809379519914,3.715653019854684,19.56454876730753,12.785955033553336,0.6003319347820425,144.77804562943837,110.47400252425058,0.7307802206396233,3.8759479769040577,22.171622313586873,10.12630722557754,0.8297922174824968,260.9417380835651,115.07269788870964
p17,0.9022674789400965,3.6467615457116906,16.063440337182975,11.68766903634153,0.2808566538116415,119.29264131199375,110.00000345227156,0.8906852318878845,3.650585339818338,15.748261283916253,11.86598581700251,0.14720046047313123,10.000000000000002,127.70801810529261,0.9682638501535334,3.539500472635414,14.248734749912986,13.373993225651128,0.27019224750073295,93.59836405148403,89.99995995133442
p18,0.5702881792067572,2.4044346220040893,10.350278521831957,12.983773761271834,0.8241314308348481,299.99999999999966,184.48967769470391,0.5651576188754878,2.4081005505976334,9.98625760335138,13.194139904816687,0.8789514793112483,299.99999999999994,185.05138166795302,0.674806573045021,2.2858664831920588,7.09819435787636,16.41280169823571,0.7781002423995181,299.99999999999994,175.56176997368493
p19,0.70156029520118,2.2839739909104644,13.546957465682578,12.087596008847129,9.756422981033565e-08,299.9999578257841,239.999960249819,0.6946196080031813,2.2901453241350374,13.28690477966451,12.232379661875497,2.0494306858244907e-08,299.9999913388466,239.9999921124644,0.738190337609055,2.243386915921471,12.184246447098058,13.46038065657119,5.516493140625524e-07,299.99976968740214,239.9998589260045
p20,0.6532292205044413,1.9802018347855388,17.840037056128725,11.755867800615324,0.22280732705929604,207.5125995550244,120.00001129371545,0.630209358609463,2.002878011098044,17.625284941355133,11.751076813467762,0.21714403850120217,210.56374415486806,119.99999606814595,0.685614619675656,1.934633746131788,16.04818731854241,13.472317124646391,0.11090361079611005,49.12717968319278,124.99999514362402
p21,0.6466061332207174,3.076500877208263,19.30468100513737,13.395505109429855,0.3616375898940346,134.78219087811655,142.83231086233255,0.6844239234199414,3.037968642488548,19.18790560295131,13.684059183166525,0.30041798771551476,99.7736379588087,144.99997652415777,0.5925058911663563,3.1437035646218625,20.770742230437865,11.778437367497078,0.40879005404769725,171.82350658132862,144.99999276377557
p25,0.805708162165242,2.5048625356188583,16.696173234870177,14.413984629752942,0.06608686152514441,26.067706715902744,149.99999978917722,0.8025775764876593,2.511951364452723,16.601087283003476,14.487244243513228,0.13828677579608953,154.85896892866108,145.0000240611186,0.7953636521369504,2.5198728053907207,16.800230437060552,14.17763850975212,0.17752441696930454,209.3437228029074,144.9999956403664
p26,1.2372300610144717,3.255658519955803,26.050205664182418,16.23791052104149,0.9801796088165831,299.99999999999994,128.17078342326272,1.2331913696079502,3.249941159966235,25.581272979821208,16.38214502367191,1.0027087145880147,299.99999999999994,126.04445965045075,1.2483602166564998,2.6947088414249616,14.310706341029189,19.070640213084868,0.8322877375444769,58.109080449677805,61.503714287008755
p27,0.7217230340635314,3.1016897731968256,13.21056061080266,12.912037674216977,1.5602791879126927e-11,285.1767450910619,239.9985238336461,0.8120073665192445,3.011434257027071,13.098873421924088,13.358345315358044,5.628683477935061e-10,299.9994572268033,234.61225420830252,0.7165857362034805,3.1085752578537873,13.647178111397315,12.467081035651248,1.0854603590992499e-08,299.99929971749407,239.96840759010985
p28,1.1469930340886074,3.81192958640162,15.330786085448134,14.143201311921375,1.365605610865312,299.999994096753,217.75066409233895,1.1115105525998517,3.8466246421675576,15.188542725911178,14.107104814146473,1.375731513182022,299.9999748334572,216.7028666174129,1.1582485164666276,3.799087295276539,14.955271929320485,14.589088977319832,0.9006253219163594,218.2923513110526,215.00002751924237
p29,0.9831820933573308,2.473932389049682,15.669403071458973,12.873076067020028,0.08776721559535634,19.49578801552928,92.62620219472555,0.9404539476225081,2.507702730617231,15.155451680722203,12.925453559464954,0.09129136407467059,17.97130172544683,90.00022560000174,1.033620980126817,2.384406115327298,13.339800565501948,14.69319418389189,0.12597075047484363,21.969902517843696,85.00000184982888
p31,0.5130411260077881,2.471785972158246,16.843170877172245,6.5735169070767805,2.0213367480338533,297.0586723289956,235.00000608424563,0.5581823440824861,2.427602148220612,16.852034171060513,6.978310000203758,1.4052265774015158,293.48946611613235,235.36305191236528,0.8072281915979368,2.1702769969452547,12.737414727007874,13.452168631376493,1.3405008547450463,295.62187718231513,234.99998923908976
p32,0.8345385871373192,3.895819350543772,16.422792801359503,8.130778465871643,0.7737740247035235,299.9999999999662,91.25619400793799,0.8945227731198423,3.8328616607041357,16.315808714481946,8.457012117501309,0.7823405195025026,299.99999999999994,90.26098525920325,0.7298267209994114,4.047092926285644,18.26415424900625,6.3527886338271315,0.7557488385038562,299.99999999878054,113.69312349587727
p33,0.9745021520211335,2.6694442828041014,26.355202600339034,13.048590708199017,1.2854088008022466,299.99999999999983,162.94232600277147,0.9732154601099641,2.6706374925604828,26.386852489225326,12.999918930768107,1.1880772384079055,299.99999999677846,160.75702706783895,0.925958223441135,2.7301820770011327,27.82404114670123,11.449772502667193,1.2443561583776452,298.6602140013233,165.00000045567188
p35,1.0683354799861442,2.094457606171435,11.996693385034087,13.006706697908756,3.319827339474758,291.49186401397225,234.99997969942868,1.019533665655042,2.1436562942734483,11.801615431063938,12.924695105230885,4.950433984061995,228.9262625488217,234.99999896547865,1.1518175068778518,2.005299558577103,8.920943001443579,16.590620574729687,2.4805364050236314,290.45177621277867,234.99998608724408
p36,0.937150577602743,3.228499158725637,33.51744248351099,11.530853892019964,0.44757814469039225,150.3755699453624,125.00000041212468,0.9392062604209437,3.22546339756199,33.42200152972271,11.610099214857675,0.47240070756392816,160.30860938054064,125.00000994541308,0.9578000291025813,3.2055753789849444,32.87162052847755,12.292529688933177,0.5021837358802801,160.41217419203304,129.9997632838476
p38,0.6121830697078213,1.88555286094058,13.957215538705055,7.435728912212695,3.317154222319495,129.6562242485572,232.53313166227977,0.5833059176194361,1.9112824818996013,13.695267867842594,7.45716953510946,0.8292226726791975,299.99999998587083,207.7985182380096,0.622261168276347,1.8715760385851656,13.494333224973385,8.008734614420845,0.9876173712668286,299.9999999992441,207.76956154940729
p40,1.0247212306559508,2.8322401838731666,18.77152932222824,12.467466485485383,1.7107140225520093e-05,299.9944891726589,239.99190895484213,0.9781876291480336,2.8772555220944604,18.53212121996923,12.365949007788567,1.9448497135815536e-06,299.9993822567939,239.99909708179902,1.0588763097497518,2.793046310734323,17.54524366276179,13.756512591562974,9.135420022465005e-11,299.9822582188409,189.5545377117855
p42,0.9417768034534395,1.881294260136188,11.468980469162629,13.579444799666316,0.08016161273644415,214.3446479717548,120.00000055899005,0.9840726148227289,1.8370851508883619,11.161665542314786,14.01780996796434,0.0898839882304645,204.30646135344878,119.99999774655106,0.9607376160220833,1.8610250127492103,11.121082899808382,13.968357198599904,0.08199111127293121,204.03631117785127,119.99992464280963
p43,1.28490877871031,2.646716027499304,21.634243051451183,12.772851314138116,0.046477398911616556,212.9044343473717,85.00008111520266,1.2581217933014184,2.6670773459268187,21.23544583749187,12.7876586342884,0.07560634443112633,242.74813635714986,85.00007164255089,1.3253009296985778,2.532322622154764,18.503111338642476,14.585778684127739,0.09297489272737856,10.940732779538934,93.52303459801428
p44,0.757550924009367,3.376951042414617,18.96252858383633,13.462697567471425,0.3052637105142385,40.345243435411255,175.00013353274943,0.7497549205232784,3.3820316427238937,18.66954139047086,13.607584920598,0.2783495219549413,34.62752217515184,174.78962201605947,0.7737980621993685,3.3488463165526174,18.189339134946255,14.078597541472906,1.1081546833588918,299.9999980956868,158.53044934579722
