,sg,bw,cleaned
p01,4.137965721621592,4.1391971122623215,4.131247961023841
p02,4.248910230100322,4.281825230036139,4.081495944160808
p04,3.7741511321777175,3.469625324308108,3.374873885622308
p07,2.6893733693566046,2.797661465916403,2.5060707095149795
p08,3.5592216901560483,3.5547456000412363,3.5371095843571427
p09,3.6581196454092857,3.6828140038656856,3.601279815239223
p15,2.944631564269963,2.9656112832850647,2.7001188204757733
p17,4.014091191178253,3.993071369540582,3.9177974075099096
p18,2.796720244455915,2.7324812593223884,2.73307224935112
p19,2.4374082755600632,2.4008673062311683,2.2258522042703284
p20,3.5791582907425212,3.58511751791662,3.462505382366414
p21,3.76644893447056,3.8080087330744234,3.65960236149008
p25,3.7740388805492167,3.7907489112146306,3.7855264158896063
p26,3.0488244272529905,3.040716975879867,2.618356403657731
p27,6.291267464886084,6.319752277581273,6.284294685861279
p28,3.5799465909816677,3.580904511883286,3.5593465870750545
p29,4.067460470116313,4.06740192236093,3.889524732781835
p31,5.50683957836531,5.588690109161425,6.21595159187001
p32,3.288738810425082,3.352240214367224,3.154991911714717
p33,3.4768222374567817,3.476225836476089,3.4155659418522695
p35,4.184766379958842,4.195296445140622,4.0102018401348705
p36,2.7049339883665717,2.7022769688468435,2.687871847969502
p38,4.705943118312093,4.761005040941402,4.74313748009285
p40,3.1166372822252324,3.137185470764873,3.0349565660082995
p42,3.2836369579792772,3.2772791958939806,3.2646750218471863
p43,2.9291167720224314,2.929844587466126,2.736007808986375
p44,2.8344748704089486,2.8240251896104818,2.82438036802473
