,sg,bw,cleaned
p01,67.2427591142525,67.29011755261556,67.17348967549356
p02,41.57737874160446,41.188276501679866,41.60495914085006
p04,38.79482380049323,38.854158675971696,38.55002286497197
p07,36.39861955056486,36.54919789491821,36.285805810837076
p08,46.639843360524964,46.404347035099114,46.72455947899669
p09,52.70287707881975,52.309147103813146,52.46158650333587
p15,47.21961642138397,47.167856822035,47.16746019781752
p17,42.087982385585775,41.90392334110256,41.31496478941901
p18,36.14267874681716,35.77334134319221,35.80916368641991
p19,42.04516440090413,41.749371181253686,42.00300162859854
p20,43.12287112946187,42.78503091057503,42.94431354485569
p21,47.02345236864101,47.02103968288203,46.890970173781255
p25,48.23815174431223,48.1259692057605,48.25503264113762
p26,58.616061157085724,58.41943138509361,58.178103479815874
p27,48.497816986469594,51.71050658172462,48.24926912053106
p28,47.5680472743879,47.236997960161055,47.538901059963216
p29,43.68893788976811,43.10585629917177,43.806182199078776
p30,55.868953454889606,55.85617140593236,56.26248998771594
p31,41.83412455131466,41.97251551363375,42.03148265494655
p32,37.41185461307933,37.495657647013964,37.27496305562605
p33,54.14218851250767,54.118258710403175,54.25153048574365
p34,36.85094273689752,37.18161088394468,36.41138524084835
p35,41.05767140277086,39.116223690365985,40.727901072573474
p36,63.943299247132884,63.95134703658003,63.515970623750924
p37,95.68544277810103,94.24795937888072,95.81957106128779
p38,35.874365048441106,35.515468320077346,33.12638132565841
p40,46.97911921022589,46.48724997958528,46.60214857462662
p42,41.34920164684907,41.37748873600734,41.13993035778674
p43,52.31311673440592,52.012247396949235,52.09550005523563
p44,46.00876750763273,44.01609881817131,43.769473629343
