,sg,bw,cleaned
p01,3.615345951350367,3.61467338481187,3.6140756854048535
p02,3.565407249198781,3.583337740971568,3.5640470353935707
p04,3.578936036533884,3.584427573592295,3.577242831577665
p07,3.798426746183036,3.811956195755448,3.7978683873304253
p08,3.7987923265971744,3.800750020952642,3.7985294940933563
p09,4.37813589663215,4.3901781509286595,4.376892272883851
p15,3.657546433781672,3.658436968420246,3.6574226576001254
p17,3.2284500219835546,3.223180036907975,3.2130713517125744
p18,4.28032553065074,4.277648367650875,4.276594675028472
p19,3.2104916771858747,3.214823105494168,3.2102954025371497
p20,3.321928554957903,3.3267665266336324,3.320699369448317
p21,4.354600906445894,4.358674229195978,4.354125224932709
p25,4.445022786436275,4.446323685875591,4.444547242250945
p26,5.102545227359532,5.101468059289593,5.1008610669146845
p27,5.489676304735703,5.5272207859898375,5.488691385180192
p28,4.383649757761132,4.384730643597164,4.382300989155477
p29,4.754253962122261,4.772849102671577,4.753426977174604
p30,3.5515800287382957,3.550968940650673,3.548115699552273
p31,5.096499905980382,5.101205631455373,5.095384306133561
p32,3.025767795016893,3.0324229019666262,3.0251479875199725
p33,3.2368018079810974,3.2376958189851957,3.2362458612325624
p34,3.986656166503254,4.02182521032826,3.9814613995907613
p35,4.025191764418036,4.072394900958244,4.021638669003189
p36,2.7129332948213425,2.7130346334894404,2.710698526697981
p37,5.941527340228036,5.948871951263849,5.941340442870471
p38,4.302785873906531,4.300916199212339,4.236754641456198
p40,3.3649648373999788,3.373457608637852,3.3615256250459074
p42,4.541491527490201,4.5528554477556735,4.539710038366843
p43,3.8364294030032755,3.8385265390812613,3.8352282031201197
p44,4.160551508112009,4.16059415525001,4.159326476573198
