,sg,bw,cleaned
p01,129.99999561819658,131.04795039086773,130.00012362305037
p02,128.6787802040133,135.00095292274537,122.65283585566492
p04,185.40214842070398,184.99910586298498,184.99999685988809
p07,154.99999620991204,160.0000011541608,164.9999995634851
p08,104.50403451876745,104.73287501121746,110.00000635967697
p09,99.99999184413603,99.99999301976531,99.1488393531028
p15,100.00000003449368,100.00000516649645,104.9998695465981
p17,115.00004308641903,115.00000843181827,119.99998987956917
p18,225.00031663467627,229.87627530892723,235.00019679478532
p19,185.00081899390236,185.00035167204533,185.0000016785403
p20,174.99999198608688,175.0000074238116,123.66578369229231
p21,134.91865235395275,149.9996969753424,150.0000023311437
p25,180.0000267901841,179.99999838001196,184.99997681159851
p26,98.44600577670637,98.62710676864688,99.99960448917629
p27,239.67482412069302,239.56885988226614,239.99999934426788
p28,159.9050886225271,154.4492651851374,154.1956956524686
p29,219.7748844727451,219.99997580049765,219.99999158305326
p30,239.98714703946789,239.99125096847527,239.47954429107892
p31,239.99260771223086,239.99371915132627,237.8316751143032
p32,64.99999551998867,63.845829813287416,65.00000766765258
p33,155.0389998419272,155.35694589601047,155.00000856994083
p34,239.99965147010164,205.09447751703405,239.99926673805953
p35,239.75508149180067,239.99881044002052,239.99861084182226
p36,80.00000511095166,80.0000007177378,136.9362233847333
p37,153.89430867988258,153.85493669499635,140.00004906220562
p38,128.28973993877938,129.44178540544743,131.28367014423637
p40,182.44067199337482,183.64007545431286,189.99998622532092
p42,189.77214426368954,189.99998853525707,190.00000014806093
p43,170.00001802447372,80.00088057695692,79.99994989263594
p44,102.55110095210199,100.87446470957008,99.99996085328924
