,sg,bw,cleaned
p01,,,
p02,,,
p04,185.40214842070398,184.99910586298498,184.99999685988809
p07,,,
p08,,,
p09,,,
p15,,,
p17,,,119.99998987956917
p18,,,
p19,,,
p20,,,
p21,134.91865235395275,149.9996969753424,150.0000023311437
p25,,,
p26,98.44600577670637,98.62710676864688,99.99960448917629
p27,,,
p28,159.9050886225271,154.4492651851374,154.1956956524686
p29,,,
p31,,,
p32,,63.845829813287416,65.00000766765258
p33,155.0389998419272,155.35694589601047,155.00000856994083
p35,,,
p36,80.00000511095166,80.0000007177378,
p38,,,
p40,,,
p42,,,
p43,,,
p44,102.55110095210199,100.87446470957008,99.99996085328924
