participant,method,rss_mono,rss_bi,aicc_mono,aicc_bi,delta_aicc,bic_mono,bic_bi,delta_bic,slow_component_supported,bi_params_at_bounds
p01,sg,1.4972792837036721,1.4339254203246001,-159.52501290564769,-153.43882370594795,-6.0861891996997315,-151.46126025230384,-141.90426132106293,-9.556998931240912,False,
p01,bw,1.4933604017550293,1.4297078396007252,-159.65343046549367,-153.58315895151836,-6.070271513975314,-151.58967781214983,-142.04859656663334,-9.541081245516494,False,tau2
p01,cleaned,1.4860311784390796,1.4224815141096043,-159.89450832131945,-153.83145291998213,-6.063055401337323,-151.8307556679756,-142.2968905350971,-9.533865132878503,False,
p02,sg,1.6545112239072215,2.3660354576648435,-154.63206979128057,-128.89962277033257,-25.732447020948,-146.56831713793673,-117.36506038544755,-29.20325675248918,False,tau2
p02,bw,1.6846049403598562,1.6296314229475266,-153.74882287200109,-147.16985505785914,-6.578967814141947,-145.68507021865724,-135.63529267297412,-10.049777545683128,False,TD1 tau2
p02,cleaned,2.4191609954840216,2.281790868910858,-136.01622735545445,-130.67612503750308,-5.340102317951363,-127.9524747021106,-119.14156265261806,-8.810912049492543,False,tau2
p04,sg,0.5367477250697246,0.41490094983039605,-209.79297271836748,-214.20525226239207,4.412279544024585,-201.72922006502364,-202.67068987750704,0.9414698124834047,True,tau2
p04,bw,0.5373274248189804,0.4152206386040557,-209.74008016150196,-214.16751140393956,4.427431242437592,-201.67632750815812,-202.63294901905454,0.9566215108964116,True,tau2
p04,cleaned,0.5365635595564591,0.41441583166572826,-209.809788176041,-214.26257846948303,4.452790293442035,-201.74603552269716,-202.728016084598,0.9819805619008548,True,
p07,sg,2.5796605365547056,2.5526095183838513,-132.86861282061025,-125.18050196102587,-7.688110859584384,-124.80486016726641,-113.64593957614085,-11.158920591125565,False,
p07,bw,2.6854080978812793,2.6453575003441525,-130.9000430697165,-123.43168997503287,-7.468353094683636,-122.83629041637266,-111.89712759014785,-10.939162826224816,False,
p07,cleaned,2.4167828197390127,2.374519897715727,-136.06442089340769,-128.72422644005954,-7.340194453348147,-128.00066824006385,-117.18966405517452,-10.811004184889327,False,
p08,sg,2.476009076510652,2.4033296175968317,-134.87809276024635,-128.13329389640512,-6.7447988638412255,-126.8143401069025,-116.5987315115201,-10.215608595382406,False,tau2
p08,bw,2.483735721450259,2.412223446153358,-134.7254212322741,-127.95229782429988,-6.773123407974225,-126.66166857893026,-116.41773543941486,-10.243933139515406,False,
p08,cleaned,2.4748578189218318,2.3986407365975957,-134.9008813441693,-128.22898596654971,-6.671895377619592,-126.83712869082547,-116.6944235816647,-10.142705109160772,False,tau2
p09,sg,0.3825262265976159,0.3545049095736864,-226.39079079830503,-221.9138157143449,-4.476975083960127,-218.3270381449612,-210.37925332945989,-7.947784815501308,False,tau2
p09,bw,0.37780822658825175,0.3481372680026831,-226.9989046795248,-222.80195761364052,-4.196947065884274,-218.93515202618096,-211.2673952287555,-7.667756797425454,False,tau2
p09,cleaned,0.36160721425614306,0.3299091350562342,-229.14648405715457,-225.43715713423737,-3.7093269229171995,-221.08273140381073,-213.90259474935235,-7.18013665445838,False,tau2
p15,sg,1.0137551926828277,0.872179703105318,-178.63443478458606,-177.80042455077077,-0.8340102338152917,-170.57068213124222,-166.26586216588575,-4.304819965356472,False,
p15,bw,1.018553057592909,0.8781477269649475,-178.40307636017343,-177.46627643955296,-0.9367999206204729,-170.3393237068296,-165.93171405466794,-4.4076096521616535,False,
p15,cleaned,0.9240265338117454,0.7769836244746517,-183.17555585401905,-183.4636588112007,0.2881029571816498,-175.1118032006752,-171.92909642631568,-3.1827067743595308,False,
p17,sg,1.0439683338365504,0.9051234468815511,-177.19541705632514,-175.9837076277602,-1.2117094285649443,-169.1316644029813,-164.44914524287518,-4.682519160106125,False,
p17,bw,1.0518243617558698,0.904210405180748,-176.8280647205372,-176.03316123974668,-0.7949034807905377,-168.76431206719337,-164.49859885486165,-4.265713212331718,False,
p17,cleaned,1.2365861982451531,0.9011501870912568,-168.89847443575565,-176.19927855796396,7.300804122208319,-160.8347217824118,-164.66471617307894,3.8299943906671388,True,
p18,sg,0.4388200405934718,0.43855973753333305,-219.6634739030672,-211.4878976076008,-8.175576295466414,-211.59972124972336,-199.95333522271576,-11.646386027007594,False,
p18,bw,0.45003929940461335,0.4500227387347571,-218.42644380322756,-210.22359578908365,-8.20284801414391,-210.36269114988372,-198.68903340419863,-11.673657745685091,False,tau2
p18,cleaned,0.41831673279820764,0.4174031658386139,-222.00814934207665,-213.91062689292332,-8.097522449153331,-213.9443966887328,-202.3760645080383,-11.568332180694512,False,
p19,sg,0.23302790161899045,0.23216775193851955,-250.67710284446835,-242.65365450269414,-8.023448341774213,-242.6133501911245,-231.11909211780912,-11.494258073315393,False,
p19,bw,0.23432929898188112,0.23341001509883888,-250.4042124919961,-242.39216847986214,-8.01204401213397,-242.34045983865227,-230.85760609497711,-11.48285374367515,False,
