,sg,bw,cleaned
p01,4.180957333069558,4.175482264556427,4.165223293138489
p02,4.984970336886153,5.03010156918163,6.027817643903865
p04,4.537621248176988,4.540070953990026,4.53684272131773
p07,4.918478085718137,5.0182767451800725,4.7606721393613824
p08,4.913005938669226,4.920665741614982,4.911863617937522
p09,3.198180774553868,3.1783967293889144,3.1095027353107705
p15,3.421621287454093,3.4297085943437944,3.2666876789066635
p17,3.4386294937910344,3.451543361794667,3.7424320050967035
p18,3.9186566460710073,3.9684343985113815,3.8260144322399166
p19,2.720668290091451,2.728254808377759,2.6700926889760708
p20,4.367487545776566,4.648281732622174,4.62302110710162
p21,4.704647571792628,4.74794564580477,4.682091642787835
p25,4.139173352939141,4.159598921981192,4.467211731352565
p26,4.416767482776525,4.41623380989294,4.414731902488747
p27,3.5948293581546187,3.5396016347226484,3.4271357255416572
p28,4.387928176462484,4.495335530854053,4.48866296823895
p29,3.631281402771301,3.691750659745298,3.553291490483167
p31,4.269712108876856,4.340682496854075,4.208536211333457
p32,3.2091128403639155,3.629089269396065,3.593356428380718
p33,6.533530556027833,6.652348134829898,6.511860381167094
p35,4.755401306057619,4.815919928562518,4.5387617683781984
p36,3.6373563086946836,3.633429546747876,3.6274605530550654
p38,4.553855598763615,4.579557205298522,4.534058113786103
p40,4.2065043204797705,4.241662868349233,4.181660068122737
p42,3.237957353432847,3.3489254176841983,3.091282309047039
p43,3.454379209557089,3.4663062410849577,3.4255029407506408
p44,4.855034505832998,4.851359816190598,4.849782595467548
