,sg,sg,sg,sg,sg,bw,bw,bw,bw,bw,cleaned,cleaned,cleaned,cleaned,cleaned
,breakpoint,slope1,intercept1,slope2,intercept2,breakpoint,slope1,intercept1,slope2,intercept2,breakpoint,slope1,intercept1,slope2,intercept2
p01,58.606771012104836,0.056384393257752866,0.7518908053168555,0.003067608081781434,3.8766154252265985,61.12819066530858,0.05315715279980757,0.8378792082963736,0.002909236559487485,3.909443412769115,57.904168894008784,0.05721435072858163,0.7325058654979731,0.0031468693120613673,3.8632384411138436
p02,40.737220300839766,0.06312373943030493,0.9209943106362835,0.0020662550122596403,3.4083065043892855,38.8493904261408,0.06979574884660474,0.764871167504298,0.0021474524166035644,3.3929662471767204,41.27377443940825,0.06290076425740394,0.9031662336658307,0.0020185853429944777,3.416003553558864
p04,45.341352810104475,0.04487070441532117,0.7869135237076831,0.0010824808082943705,2.7723308192016307,45.500214287871444,0.04447558175625221,0.7989430643372646,0.0010693484319435965,2.773935982022653,45.66887687617384,0.044593719382606076,0.7891983486730415,0.0010462046512285837,2.7779644372036865
p07,36.91443606710668,0.10231368307063145,0.563240492334535,0.0015307383088810239,4.283586063396915,37.18105071387048,0.09867939413256147,0.6695677579286692,0.001551172902936067,4.2808970772154025,35.96365761678234,0.10527845218512233,0.5401343803381791,0.0016130919043067348,4.268319904197819
p08,47.227353075909306,0.08158520234052465,0.8457733324283335,0.0018602944816406483,4.610969704824185,47.29925671306475,0.08004705549941596,0.9014414538634702,0.0020265118229673418,4.591755178108693,46.79544831368999,0.08240704090386894,0.8330613801837643,0.001960236519860422,4.597605656737164
p09,47.12185952830301,0.05429730737492249,0.5649236601783537,0.000748628685878561,3.088236975289715,46.897283354203026,0.0547656674633009,0.5539946139888601,0.0007592022720576976,3.086751115021495,46.845325292214646,0.054580405000899286,0.5631810087626812,0.00078276663934637,3.0833488777625533
p15,47.662494221970036,0.08166794694236465,0.2916543744239546,0.0028045726129630297,4.050479497724119,47.430370778025015,0.08174864551750045,0.3014275197181914,0.002851214205483873,4.043561940280899,47.109011857346545,0.0827452944412221,0.2771625032715356,0.0028663078263685437,4.040182630863497
p17,43.151054985712236,0.0822180739220661,0.6628394516292356,0.00290691344155643,4.085199698504356,43.16360220875042,0.08178916135160474,0.6765778052574561,0.00296724995392915,4.078815434160097,43.10951600291424,0.08231337835942613,0.6595860506080455,0.0029503146839442154,4.080889314166535
p18,38.69946720446689,0.06272717433955706,0.3460061955380158,3.9572608202599544e-05,2.7719829828672498,38.96419257408199,0.06136179556960319,0.3833133795784975,3.68399042418135e-05,2.772790761720678,39.43023940289568,0.061239691305790704,0.36709103696198686,-2.3716782956802038e-05,2.7827218845385966
p19,46.31804933270988,0.049477521560352254,0.5888135835034107,0.0005598961883993242,2.8545825687205473,46.0629366915649,0.05013587643832724,0.5698421983006957,0.0005703713699946302,2.85297492034874,46.34698261027896,0.049477313089946705,0.5879652655536738,0.000555744000484165,2.8553323774105546
p20,47.72403846221044,0.037530469157575845,0.5897723121546612,0.0013832649819393542,2.3148628745341107,48.580253566803485,0.03564438543749656,0.6517615951520896,0.001366300416459903,2.3169996572584988,48.006400534629236,0.03725196603982824,0.5962954555219353,0.0013544620280056905,2.3196054113069486
p21,53.18260506341004,0.04871651173373782,0.563627838954171,0.0036433028970827832,2.960738503454599,53.861065965881416,0.047153456026322434,0.6216409411958773,0.0035778725832883627,2.9686683155229057,54.77897973786952,0.04707944998492631,0.5967822189419157,0.0035163286802343003,2.9831255582099914
p25,43.60326979660163,0.06274151110615366,0.43806543338347553,0.0009563031164683318,3.132102526796871,43.38076916023945,0.06411041017795052,0.39179195250054355,0.0009741389976264,3.1306919582124633,45.94858934114741,0.05938184034622136,0.47364769615815067,0.0007572536077336054,3.1673647574994015
p26,46.33017046105266,0.06183555412775926,0.9131071395396422,0.005128458439799701,3.540356549114033,46.2530923655661,0.06202548190843018,0.9092762348720966,0.005118509425416083,3.541399689373676,46.61937609777198,0.06147611477788829,0.9186881162023833,0.00508169281026837,3.5477608837273107
p27,48.171499223998794,0.06491391063040344,0.6270359332353708,-0.0008200959595825383,3.793541580675212,48.128880010178705,0.06485385757143015,0.6339708096151782,-0.000849380649505198,3.796194078230763,48.184743092238655,0.06486084462836626,0.6302902284545422,-0.0008424084808344816,3.79618459984571
p28,48.032396781120845,0.06661191730292415,0.7823421002814183,0.004997363522359598,3.741836794961204,48.0809697869399,0.06559425943783585,0.8264522857610466,0.004991640722768379,3.7402849652096446,47.30402302257938,0.0677278061296921,0.767169068541475,0.00504426396704149,3.732352790140325
p29,41.120344231791165,0.06444350507480032,0.6681920037911222,0.0008908041096880597,3.281500944336625,41.292606942639374,0.06301849293782845,0.7145826408642993,0.0009108442217937492,3.2791693674270412,40.90862821232479,0.06469126551341028,0.6704659633157773,0.0008950628198370569,3.280281100665278
p30,53.83062201015765,0.028605555745577108,0.7399971900042885,0.000720329142879452,2.2410762829216986,53.490425416641926,0.029131014803169476,0.7209479725625632,0.0007151929637746988,2.2409223713152944,53.37466013631399,0.029070329671220113,0.7257122138622507,0.0007324230320644112,2.238238349701782
p31,43.72373498673554,0.05934781820730836,0.22305439301278124,-0.0002917319298576859,2.830718277938357,45.79261653850307,0.05500541114747759,0.3170624703925623,-0.0004389741864694751,2.8560059472030033,43.37619387118907,0.0597246220055645,0.22514510172333854,-0.00027151866218022856,2.827549330850565
p32,43.36005490827578,0.08266037954860087,0.6792566344859101,0.002946497217193832,4.135654949327553,43.35818444808203,0.08207247615506112,0.7025763212092834,0.0029656361932860827,4.132505279376832,43.28159958442886,0.08286942715413614,0.6756644381281798,0.002953501197420016,4.134553545805632
p33,50.38471459439156,0.03996414418262789,0.817076310909512,0.002922445355155911,2.683411734423096,50.80225771659913,0.03863397852233357,0.867435549507339,0.002947983408005163,2.6803646701787485,49.99999999454887,0.04016308707925347,0.818543439569667,0.00294466878847071,2.6794643539059226
p34,31.677700301255854,0.08245575198049368,0.4134585037914756,-0.003463105560353012,3.1351703231967134,31.875854449103212,0.07937259757794872,0.49656296635760167,-0.003502463867666627,3.138276362458522,31.302023895397053,0.08369719765958783,0.4054027752183253,-0.0034600235530526983,3.133600196272806
p35,43.329716861507045,0.05632380657861106,0.7943608970821987,-0.00017804942302751108,3.242570319782841,42.853926819960265,0.058588907273590986,0.7252821510268316,-0.00019680499410966782,3.2444807626061154,46.41350260021132,0.05224960761833548,0.8409711799769352,-0.00042774702025171504,3.2859117164672558
p36,56.34371234766397,0.043740891216455795,0.7179489595414665,0.006258453001760656,2.8298486763993367,56.45948127648292,0.043362026572947715,0.7361211723021575,0.006221918508887111,2.8330324081515394,55.57928873891102,0.04435985293928712,0.7067492704288055,0.00628345035435099,2.8230086438359883
p37,51.28495673209449,0.0435234109075932,0.6081966415101072,0.0009911778763146667,2.789460372238587,51.09936848885577,0.0441073167401978,0.5869084809254157,0.0009762238889357542,2.7908800878591076,51.452690417409414,0.043524294073153516,0.603167216746706,0.0009701190619956056,2.7926940095640735
p38,36.859734497939996,0.04961006949327473,0.5504366236825619,0.001026808911534374,2.3412027097697456,36.49880139048049,0.05134106767856592,0.5049504225937899,0.0010193505273522422,2.3416327825238734,36.73847374450304,0.05003875628272374,0.5391819210844154,0.0010339333665887985,2.33954432114286
p40,47.46771130784389,0.06157970259531269,0.505718174589234,0.0012919892027407859,3.3674379493178708,47.712427005158126,0.06021451538710626,0.5554642669084314,0.0012916592214995365,3.366816740645374,47.51489931299824,0.061428801463695275,0.51174393134087,0.0012750559798121127,3.3699430913073014
p42,37.65111494636848,0.06050459495822572,0.3691286004403327,0.0007162836698511992,2.6202251812081823,37.988907957386395,0.058561857473319434,0.4229552522493151,0.0007149033342863289,2.620497868652196,37.72940042202565,0.060221947286859395,0.37696134649715424,0.0007022732896424502,2.62260295972658
p43,46.47379214008838,0.06118097920309784,0.6840870350160182,0.002048433500574343,3.4322006727093717,46.21204200237583,0.06230570915453379,0.6469709113109962,0.0020557926813502833,3.4312425820093875,46.844989393761765,0.06079048646922152,0.6851849696469267,0.00201043641403638,3.4387357910468603
p44,46.45131314937958,0.05799938534528696,0.6576606783780072,0.004629094623652487,3.136780765562077,46.368490489703454,0.05791681452460904,0.6627273384432316,0.004672196407368345,3.131599907240399,46.243045726345166,0.05834827401626986,0.6507205075775306,0.004643903314179009,3.1341741776589096
