,sg,bw,cleaned
p01,2.531852539948062,2.313913415241803,4.075187948684096
p02,4.876445566908227,2.8586428496725556,5.854174160697725
p04,2.849057937397476,2.852321204866119,3.9871383513535896
p07,2.286776976506409,2.3688748021231705,4.718862983217545
p08,3.4449934008934138,3.3276613848125836,4.835637930019778
p09,1.9179288286619105,1.8487826748438698,2.9700897336699503
p15,1.7701742948121928,1.8290011929161205,2.995513810598879
p17,2.129551920423505,1.987983868378392,3.194775238143907
p18,2.7037092899859165,2.8276896678795573,3.821834309198202
p19,2.2466888014522666,2.30364743573947,2.664346625516553
p20,1.5591526593329634,1.4254916462257357,4.555182020056495
p21,2.125442028713122,2.141226342424841,4.1531997283193895
p25,3.8170491275296343,3.719982520663895,4.398941462557328
p26,1.7607255863936404,1.809111566157079,3.1931948861480617
p27,3.062254070369937,3.069148715655785,3.4271357324188645
p28,2.1345398331171253,2.215756345432649,3.3307951079670772
p29,1.7603169391530449,1.8787150370225227,3.514622193333245
p30,2.8953346642128164,2.787567021712008,5.3681361463887995
p31,2.6061401055286715,2.795363630628147,4.208536210911219
p32,1.8765837960719025,1.8474310206472406,3.1908484170351947
p33,3.160090279002122,3.2861799780732963,5.4021846472911665
p34,9.370972251120586,9.989417390647368,9.269408090211288
p35,3.8355566457408776,3.2773809707199675,4.538761768294415
p36,2.090599388871329,2.099138234814767,3.3113673876451566
p37,3.1338824734996265,3.1106217944772157,3.7329300550065456
p38,2.963207516304228,2.846508790049292,4.34699496332052
p40,2.180513104129135,2.125915203646785,3.881324031947244
p42,1.8382977100543187,1.9468709516220257,2.8237733323758336
p43,2.6445387233195925,2.6986048126130697,3.2333399766058117
p44,2.1440323395077927,2.243462973679943,3.2211785261007964
