,sg,bw,cleaned
p01,58.60361247679655,61.13132604937633,57.90419195971136
p02,40.737584983053736,38.84862903711375,41.272129785651906
p04,45.342038948644266,45.50020040539031,45.67173010761924
p07,36.91630261828502,37.18081329447859,35.96296011054448
p08,47.22595195818103,47.29920477299781,46.79537389540841
p09,47.122951321551376,46.897176563387205,46.842464497331626
p15,47.66355074749231,47.43096809483681,47.107973166406346
p17,43.150735816693164,43.163096877938926,43.10954350358667
p18,38.69967698198482,38.96346349827223,39.42945823302705
p19,46.317923349488254,46.062517210099244,46.34781176062722
p20,47.72277900612471,48.585233152512245,48.009991207487836
p21,53.182629602017805,53.86050812263744,54.782455498466206
p25,43.602494032623596,43.3809870940878,45.948654751625725
p26,46.33098523727616,46.25388849974903,46.619375833571574
p27,48.171664406604556,48.127680902852426,48.18302558387399
p28,48.03248353232059,48.08159796529644,47.30302488994913
p29,41.12212232266227,41.294739898964416,40.90896838304178
p30,53.81821078869437,53.48859657773143,53.36452099365559
p31,43.723341098008206,45.79354834819527,43.376779503777335
p32,43.360015615923274,43.357271303376805,43.281640155426956
p33,50.38220764020028,50.7974769237953,49.999999781860495
p34,31.677756723932877,31.87584988051534,31.30184697019139
p35,43.33010497520341,42.854535954645954,46.41338794092185
p36,56.34343027107868,56.4571560921715,55.583045412481255
p37,51.28430295015906,51.09785350098442,51.452679893882305
p38,36.85918744014829,36.502118996811426,36.73817536498754
p40,47.46951033173412,47.71479470124777,47.517183685902545
p42,37.650750114830174,37.98547988007997,37.72845494351801
p43,46.471877048575145,46.2131731296481,46.841777797373204
p44,46.45130592740012,46.36611200840714,46.24295347670753
