,sg,bw,cleaned
p01,1.9441498976594214,1.9158777885656415,3.5025565968448116
p02,3.444304891328862,3.2489949430592926,4.97875343386237
p04,2.281174098022728,2.4539431362219775,3.4310242877529187
p07,2.8329332625768684,2.806900053902507,4.906210261315314
p08,4.162704279493967,4.214608174235596,5.12954057475585
p09,3.773482996552814,3.7923687536559116,4.50756785792523
p15,3.146369784746752,3.209007183275937,3.7767355039670827
p17,2.108527043372409,2.1321176672238837,3.159330174754693
p18,2.1128629844408167,2.050577240382787,3.1154582179896337
p19,2.21924310984935,2.240507871544681,2.7545815941318152
p20,2.9638650212822863,3.2396294972100304,4.6795857741744
p21,2.9220936696655895,3.1364351632266403,4.498453605905552
p25,2.4026174025608937,2.3095153881413384,3.505361019016559
p26,2.3187007670123037,2.300774076148449,3.4466331866027358
p27,3.9723058447951045,4.155870229883953,4.704888680377825
p28,2.533097000325487,2.8014190757702866,3.4218597935950474
p29,3.5459834946355233,3.62570878185788,4.400395524837746
p30,3.500052937194669,3.337579316439791,4.585691576141824
p31,2.6966049330172566,2.5623822664293185,4.337297665217391
p32,2.4519125883706567,2.6186784223613704,3.396139276245664
p33,2.8015798250838184,3.049360986434457,5.235231590712283
p34,4.45197599764398,4.921484563319312,5.923714497111085
p35,2.6617548919666167,2.6684738778615995,4.0299679092473735
p36,2.728195689027303,2.80016639751249,3.6438165039724364
p37,1.630590493491383,1.611409666746233,2.7679591407673847
p38,1.5489112330207992,1.4453739229742757,3.5634714085728256
p40,2.3621456484457752,2.45897290599566,3.8515029115432577
p42,2.328914315973453,2.4208638408075704,3.3422037473639152
p43,2.224456443176382,2.250135728389072,3.018294686295461
p44,2.8950616093730006,3.0904780069144855,3.7872177693540308
