time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p40,p42,p43,p44
0,0.7732549659190309,0.3330961513409526,0.8953018298475699,0.9325217966174023,1.135199727502245,0.7700078981889718,0.846566930663446,0.7891426209953112,0.5244124764400392,0.5313125406683374,0.8346765248662601,1.0097345365283137,0.13720595735121718,1.080838662576152,1.0023994912553793,1.175698576540455,0.8617345372964582,0.47015541585450765,0.4017353940826654,0.864418222513606,1.0568516019064502,0.6767934657454532,0.51479948277746,0.798462823350281,0.5286559412082747,0.46931967362646515,0.7356233405458307,0.5508831905390112,0.5502784297975292,0.9658196845150382
5,0.520974987038216,1.7656310134028061,0.9376230790929572,0.48464961278336754,0.8146403845545436,0.8535534396628236,0.7145344769010368,0.9047296869663487,0.4497146055396469,0.8813983898876769,0.3579851354272476,0.502050428393766,0.9153218108174481,1.23004969570237,0.86390883778516,0.8214675160157541,0.6617923659838125,0.8886265918033434,0.1820261366329454,0.8364373318162708,0.7837630388557495,0.3417592420756338,1.3363660371137063,0.7492775259061007,0.9069713506495788,0.9598906375139252,0.5051629242396011,0.37054771032145306,1.1478220044212954,0.9245858649425365
10,1.872769143543254,1.9040844854962942,1.304179522937913,1.853984531576322,1.83250165313522,0.9310974029886783,0.4948117459430109,1.516844171706362,1.0618306828241724,1.0565904821203886,1.128985842984512,0.7951691130590686,1.1834715675175818,1.33907134576183,1.1982661159291819,1.5725604997275302,1.350969896683757,1.356078240477938,0.7552124375223445,1.753868647284182,1.0806487852526343,1.462320642923192,1.490890397016718,1.2860246128536161,1.118077021515452,1.0667231178150913,1.0609462901317777,1.0147407544928915,1.3279203774620458,1.228350751855814
15,1.6427202897077802,1.5631722978842286,1.451082436750238,1.9570845978714382,2.051009337590398,1.0057611717410366,1.6028607005369526,1.754745249041792,1.0940225513379933,1.1619635291841806,1.105520876491874,1.337453075937682,1.3321787975211037,1.754637001750492,1.0626206397199447,1.6088960513128079,1.466494556132496,1.177174095558962,1.2842060664214958,1.65424853000989,1.7287958425546421,1.6118696134663502,1.356382837231307,1.317745026789594,1.163921137467997,1.1845239533443561,1.547562565304234,1.309774262192956,1.45318599260683,1.287756446429956
20,1.626272025396626,2.175580175780608,1.449012704478446,2.606088627381794,2.1975934111980258,1.5807789989005,1.583859716239288,2.291686861352782,1.6572616764590797,1.64004504214254,1.308325974915684,1.5131487341041876,1.828817532333494,1.883572763123126,1.843800807305022,2.01235915025372,2.1040337629707357,1.247424320524596,1.483142814660106,2.051417583647112,1.6255189985653282,2.03728267534575,1.90058108070212,1.495263395913032,1.4166983989480801,1.351804094429708,1.726710335437538,1.572289050465482,1.781474445013274,1.50393085632418
25,2.0368360931526297,2.206706426609146,1.8876083568589237,3.461029542459586,2.9256265934172285,2.203214956397354,2.173785373708236,2.693760502127962,2.1092123969595358,1.940037371536106,1.59423342972734,1.721597235070444,1.8129477860890741,2.754020862391104,2.3772404650593297,2.252929106669868,2.50925694990616,1.399354568356528,1.91098373508316,2.981538064952052,1.6489314334197818,2.6314543474962497,2.3206167079438083,1.81540768041517,1.5616215886265619,1.8260382394931418,2.035502305707856,2.0486152238157844,2.309746490805764,1.9846083922114857
30,2.5234033078786355,3.152152373991652,2.107574369292014,3.3275911065497903,3.519381451124702,2.4417639488311336,2.985357349921904,3.480098098478154,2.181037809959218,2.22527830683028,1.80999498613865,2.08147036355953,2.61738977804805,2.9120434044151216,2.795667122531006,2.789590298091446,2.765934857160514,1.6564238815168117,1.942908578351414,3.3291861596591743,1.8515246059802242,2.8645442524368883,2.768954578113458,2.04338143027646,2.031624689510648,2.284163939814074,2.393862948625992,2.2106935086116,2.627233194926,2.438013959576792
35,2.934383650020796,3.0409985218052777,2.577346892231732,4.437118315381004,3.826783256379238,2.482228788880408,3.162382256197914,3.5874530325016942,2.432788792876362,2.381171943272248,1.9415065838458159,2.3699236111571023,2.5603816463958298,3.166935906443884,3.079295258501522,2.999746220416518,2.8666348151359116,1.7727059467210602,2.197895644091454,3.7555595827153594,2.1920812433498917,2.9958575441966757,2.6919947315029837,2.2921482957858297,2.222050996137346,2.1764173175971644,2.7487070240438003,2.369224120625518,3.0119549500208542,2.99921030990295
40,3.2032256456509662,3.309241429106882,2.60280611341721,4.124074042562908,4.162311435521348,2.7741393976134736,3.807984060565972,3.734219924117126,2.7877974634168603,2.545360564189064,2.040906716710194,2.6478932226404117,2.739636020049714,3.253418502140952,3.30955200916978,3.903189221319896,3.091663753103596,1.785776423722742,2.6185657185678357,3.7708043984759776,2.5594267966637636,3.019016695739426,2.818589195972336,2.720559035007368,2.4336667829942917,2.242358452072272,3.05730193870211,2.52690356256132,3.106007610389248,3.1067767315389636
45,3.27881948584781,3.481678799761788,2.712922778803334,4.153774957575876,4.407158267761671,2.869847895278256,4.0171831477732,3.893093549032794,2.805426154222456,2.64887582807933,2.222528670074432,2.90592579064327,2.9700465812852377,3.64441681339913,3.36384863346714,3.774010217752808,3.106120135356618,2.112371492007116,2.6984663091146204,3.9440029182686316,2.6863245622480183,2.95958246232901,2.966697039797226,2.6664877251921757,2.57208796665802,2.449853205135372,3.127498565346384,2.649651163147202,3.214084926848578,3.196522374066516
50,3.4421438584597084,3.2990736161928504,2.836287823571622,4.198169021733888,4.370394517442492,2.9361201778229757,4.078024265205338,4.100209504036674,2.7997366094157923,2.777773892744026,2.33460317611112,2.6270886322639497,3.0877588240192724,3.854889093079578,3.507476544623194,3.826041925431234,3.1353210906409217,2.111231003001488,2.635473885056352,4.06528755733449,2.890846427868146,2.8741957662097564,3.1528870953081602,2.809776221933704,2.648651998099054,2.321946394410852,3.34269919858342,2.630344649835228,3.418670125567464,3.1407161193282382
55,3.816006420106698,3.358162868128576,2.8563693042439917,4.278974286817036,4.49925576443397,3.010706071135796,3.953369292843422,4.26004169349068,2.7914773652191522,2.717776093539972,2.282691682287602,3.2339866959535257,3.2489209294110637,3.713980039591636,3.6293877627274265,3.7008174324752074,3.1106116308760376,2.16147554889965,2.663677628342056,4.162539176462796,2.6819818472506243,2.807636773497576,3.235940913504664,3.125408063937626,2.798034052095188,2.3288669725768902,3.2899723705178303,2.705185299350522,3.3803675595989175,3.415224341403124
60,3.7404291143176907,3.612773304746778,2.808694376847376,4.312965111546176,4.404545127905834,3.0724280450999,4.16449749152602,4.233594313900326,2.819187858661936,2.8677127489267056,2.1515878599771683,3.213106625791422,3.164867762943766,3.6926911732548584,3.6839680238569756,3.9308848223151243,3.436489005064582,2.103676195605138,2.879621930513344,4.26245136829142,3.057460568830078,2.8832661514906297,3.24051802158649,3.019474061341106,2.868493240301692,2.487309966885606,3.49062879105204,2.702060268346358,3.403720776479114,3.156183442360776
65,3.933666516915946,3.5139778584055676,2.959489033755946,4.437715813269452,4.591056176416714,3.194829968585096,4.115810563540478,4.323053377749032,2.780689337614048,2.847380497636978,2.457968671297796,3.3786166747634683,3.247878155193652,3.7088678636361765,3.638313329728232,4.049752631167778,3.262587216997654,2.238956108688518,2.8375882948155438,4.225667375201342,2.88096976099823,2.842762119835892,3.19010061064462,3.153843287039738,2.938708843838866,2.503841327252882,3.341862422103766,2.754305644548552,3.572527301423702,3.388179456352888
70,4.0539927984329704,3.4588411449692438,2.881881903876974,4.405500508877814,4.606633358548408,3.13074727572731,4.128627201290396,4.308012978291219,2.718370703864386,2.872543304183462,2.35486584921987,3.038410965325646,3.3422528270376857,3.982296358656182,3.7425071116239104,4.071335504331496,3.287630108416348,2.292583266761012,2.845806091240722,4.305585002919818,3.066006737904534,2.789486799493166,3.261956317842702,3.179303066600066,2.775360756441718,2.3369453954804777,3.4942401955685165,2.699414038375254,3.509417112346116,3.4264487352078383
75,4.123925964765358,3.496366341995686,2.872456033808718,4.467922556592002,4.70278202955917,3.05461077198928,4.266234807630942,4.422475391151434,2.727127123442558,2.923801248527264,2.54040575461874,2.831404747828264,3.327961396994822,3.8065494782624385,3.6586851027914684,4.231284946906735,3.3354342476175263,2.162721513681112,2.840216381781924,4.409725767093178,2.838684084813862,2.908161873386688,3.26406142012302,2.989961716646006,2.922563333464848,2.4956475488548557,3.63999166555411,2.778829189854336,3.6262733741090423,3.5110237286271797
80,4.12138602139885,3.7105629956376602,2.893557717822194,4.416350529522508,4.95789175445523,3.1919333124191738,4.33097018278942,4.45976136506264,2.7129914754454583,2.968704838163176,2.204087925961716,3.367214557793036,3.176532237345322,4.076129048325096,3.7569769142305462,4.235708851649886,3.3523835225289504,2.386183698948452,2.793947102834036,4.502350742504872,2.919374072133654,2.765638105117748,3.311246438538128,3.12470338214849,2.8801607849491218,2.451214594959488,3.5051966838747584,2.748788099591316,3.554572279976836,3.594354089241416
85,4.1889868996076185,3.689214386622512,2.856688615817712,4.401955681696306,4.714464854224806,3.12601593984796,4.345402411764372,4.429912942575378,2.778340968569378,2.931391677667822,2.591963198052422,3.3127960336937377,3.186298814709846,3.9738272278538402,3.756514482716342,4.270990259105273,3.7240513960695325,2.289284616113864,2.920765758873078,4.471711787569302,2.75690051547996,3.1197229947399423,3.316402660829884,3.301117027535578,2.87825404923528,2.41841418453564,3.4962450338048563,2.766865603138808,3.622222622098614,3.651451517314418
90,4.185839664976376,3.7662620161327416,2.9240094029601083,4.423563954426543,4.6697371173491735,3.112861539759902,4.458955239633256,4.364429133344548,2.800151129612402,2.8883244049460037,2.473371071465238,3.0358833639567058,3.130862237858016,3.9484805056429977,3.66856921755914,4.251882227655632,3.4687530838967717,2.355845184185468,2.7883063850821257,4.489282532327286,3.171939913423892,2.753304247385552,3.1925456506952257,3.5021006656037343,2.87289267472217,2.412251464810326,3.5617527537380504,2.632418653281834,3.6309296212057043,3.7703606901219557
95,4.1880696894998355,3.605745736320286,2.81094604137563,4.5392010426864005,4.913905872590609,3.142647121675824,4.246403483486658,4.229110673656094,2.79895424308794,2.989912192398634,2.6001775496676958,3.5485734204310537,3.254104839775414,3.9946248334089463,3.694258628305934,4.220108581757634,3.3792382484102914,2.34662443231726,2.907467778980732,4.435480643235086,3.0528891176902078,2.708201682518458,3.297232896148176,3.4025111367855545,2.95626434892237,2.446693642264624,3.5867253844331524,2.690842163015104,3.682590199182374,3.4730505922153463
100,4.24475094681955,3.5847172837053343,2.87411707267489,4.560592607130054,4.711688811333166,3.15065672704833,4.305441139954976,4.38508206282252,2.8261557727016617,2.959621264899012,2.478405501215608,3.33250875954352,3.274970999591094,3.926071540913386,3.816648657686136,4.286035524338508,3.391420243935614,2.356643894146976,2.7548706753956878,4.498375737455792,3.1362048528422397,2.776126319122108,3.231118888331616,3.4823770667248723,2.837515217422028,2.4450587042147958,3.5219669714366,2.6948790361425856,3.7087791348000985,3.5231211727526643
105,4.14738584041049,3.628133778960946,2.905024787637716,4.473401234656514,4.916889363320118,3.1492903172640503,4.2946824840192255,4.403090190996362,2.792976746487958,2.950910269570418,2.484303169289272,3.338315972115334,3.249094385560106,4.107479611271796,3.758707505943678,4.438127872301866,3.4317490057702456,2.35914433402161,2.79548036822283,4.554078131531407,2.931160619126302,2.799906883342664,3.224509728744156,3.54580877767103,2.8686045075403817,2.436097087854138,3.691070817063742,2.733795700615046,3.7370457853789043,3.740686390150658
110,4.232841489585882,3.57496763224838,2.877843643753706,4.458304352659504,4.830073407464345,3.2800130650944395,4.4222554336080915,4.527480769479758,2.774950972122594,2.924898441245226,2.5062138948437522,3.3756596491197457,3.287948465197708,4.07369244020275,3.76302765692587,4.297160204130442,3.3506520088963,2.261492512215014,2.8905282293904158,4.599029799524022,3.0187600638400838,2.6734690043051037,3.235618722029674,3.391927807202756,2.909515123130436,2.469845055003088,3.5847967259106497,2.5870119707743804,3.696776404329608,3.777284146946694
