,sg,bw,cleaned
SP2206,144.81115982342135,148.514938829032,147.3051138783036
HS2601,144.638828692041,144.11572446977988,140.0000021872056
FF1107,105.0000033547798,105.00005115609417,129.9999508900084
HL1301,239.99999334442938,239.9039246968556,222.61097634307714
GC2408,124.25855083809644,124.70952135715795,112.50010761108197
LB0303,174.24196442173078,173.92244983823468,172.31497006091067
SE1208,155.8525682079664,155.52471927030388,150.00009292303977
LA1404,149.4024430574406,149.08696818705673,153.37520131458348
KA1406,190.30731778160396,189.99999892239907,130.00001489116917
WM0403,118.46328372974831,117.74463284406481,118.77673459354263
JP1906,209.24378898305693,208.90689597543843,209.13855466611037
SJ1006,146.19771711774214,141.85271147606738,140.0000140838472
ST0412,154.04858845298554,155.000003374497,157.08628555151375
RJ1612,143.9605667744063,142.20513655682925,143.89318110788508
SL2009,144.99999804758735,144.89448664185025,144.99999532617792
AA0509,79.56748048229927,78.94089964480885,75.61490484458635
IV2507,119.0167585692101,118.6519879805,99.38081856033696
PS2810,138.66098451142784,129.91492692696133,140.94479039631779
VK3004,119.83911019463432,129.38656807090717,113.55601224929785
SF2004,109.24005391317718,109.76339396636918,94.99992259021394
EF0410,199.99997641594965,200.0000091010699,223.65455983994988
FJ1809,118.23198317047778,119.29350483809061,58.07670610423682
AL1606,154.67389832307362,159.870441114642,154.37365170682887
FY2803,110.44471074195269,137.43868333807603,126.56398685318132
BC0611,89.75463684526363,101.38746377065215,83.5667251810328
MJP1611,109.46296019405729,118.71774947350494,69.9999996071021
ZM311,97.7579697692641,94.86868229478536,79.10963233861567
BE1110,141.39279615803775,142.28896707395737,137.9559122294759
WB2110,59.99999284896451,59.9999927247244,59.999988949390975
HA2610,124.6725070493227,124.99996310935882,125.42249163623369
WV0510,104.86353616149734,103.46333597138741,100.90583332471823
KL1507,100.11220617007339,100.49788091646444,94.10242259140198
SC2404,126.10569265385736,127.0660473871126,125.93221050291972
HJ1011,109.99988649781183,110.40993404220988,112.76554700989485
KT1809,105.00000300378736,105.00003176983661,110.0000313424361
SJ0507,231.8190831927429,239.99901751014045,239.0015798895667
PE1605,179.99999959684394,142.25357362331815,144.9999938115235
