,sg,bw,cleaned
SP2206,144.81115982342135,148.514938829032,147.3051138783036
HS2601,,,
FF1107,,,
HL1301,,,
GC2408,,,
LB0303,,,
SE1208,,,
LA1404,149.4024430574406,149.08696818705673,153.37520131458348
KA1406,,,
WM0403,,,118.77673459354263
JP1906,209.24378898305693,208.90689597543843,209.13855466611037
SJ1006,146.19771711774214,141.85271147606738,140.0000140838472
ST0412,154.04858845298554,155.000003374497,157.08628555151375
RJ1612,143.9605667744063,142.20513655682925,143.89318110788508
SL2009,144.99999804758735,144.89448664185025,144.99999532617792
AA0509,,,75.61490484458635
IV2507,119.0167585692101,118.6519879805,99.38081856033696
PS2810,138.66098451142784,129.91492692696133,140.94479039631779
VK3004,,,113.55601224929785
SF2004,,,
EF0410,,,
FJ1809,,,
AL1606,154.67389832307362,159.870441114642,154.37365170682887
FY2803,,,
BC0611,,,
MJP1611,,,
ZM311,,,79.10963233861567
BE1110,141.39279615803775,142.28896707395737,137.9559122294759
WB2110,,,
HA2610,,,125.42249163623369
WV0510,104.86353616149734,103.46333597138741,100.90583332471823
KL1507,,,
SC2404,126.10569265385736,127.0660473871126,125.93221050291972
HJ1011,109.99988649781183,110.40993404220988,112.76554700989485
KT1809,,,
SJ0507,,,
PE1605,,,
