,sg,bw,cleaned
SP2206,2.7044560068182397,2.264753101332194,2.701018251209688
HS2601,2.899037991041708,2.9191267323877423,3.8702823449157284
FF1107,3.532736886300156,3.5373304658449483,2.7187049728762807
HL1301,3.427917961844501,4.251521175477524,3.2115427832855628
GC2408,3.5099228033991543,3.540346062734249,4.0677545082142235
LB0303,4.528072304564335,4.510936143878649,4.4893305880386025
SE1208,3.0075310432048283,3.0010861953409034,2.9657157976722734
LA1404,2.8325545761132793,2.8539556627540836,2.828146823476896
KA1406,3.0052864320028547,2.976819244447096,2.9589908423816556
WM0403,3.1456995196851607,3.1527046907279055,3.0796597625668007
JP1906,1.9426174843523731,1.9414965464557838,1.9398901737192238
SJ1006,3.2318399200103953,3.045821889617047,3.0262059900309115
ST0412,3.3983425414916697,3.3961976034689374,3.3943332730087046
RJ1612,2.241541996246371,2.392479026638884,2.199112247235278
SL2009,5.4569338650579144,5.46791202561346,5.450149064239425
AA0509,3.174516745289091,3.1745904354020826,3.107428278483273
IV2507,3.2754751028653057,3.313122248376842,3.3175253732031953
PS2810,2.312846276374339,2.3502801422624775,2.2955851614908025
VK3004,2.6718730210824115,2.7643685252860783,2.5374235451401392
SF2004,5.044807148760323,5.060144327858985,5.111150628170283
EF0410,4.845196264262074,4.876607089678131,4.849360645934335
FJ1809,3.421583030984888,3.398870317693809,3.2905651289994635
AL1606,3.0226241584658333,3.024661213856886,3.0210086720387634
FY2803,3.5604583113794877,3.585482275225967,3.562092508252459
BC0611,3.877186116828695,3.899334908614016,5.264704228326475
MJP1611,5.1223439532263875,5.235483387975092,5.003976493017672
ZM311,4.25201426086515,4.220526073037097,4.0936136929887414
BE1110,3.699200496313308,3.7266369938292394,3.6984614763191135
WB2110,3.630048111206694,3.630679518274111,3.6279930245255234
HA2610,3.03734060557988,3.044253501175843,2.6553362393688396
WV0510,3.1891608994639644,3.186328000735287,3.175527725541142
KL1507,3.43442252392673,3.431740401600657,3.4042650158155983
SC2404,1.9343146784050882,1.9819650653653234,1.9148731240324828
HJ1011,3.1442155022112104,3.1419891655848056,3.1342637007867697
KT1809,3.92018937030866,3.919099802231302,3.8757285747625803
SJ0507,3.628997329138089,4.675983110240442,3.5023067647760517
PE1605,3.153319273096341,3.2177738933772697,3.1971819342645853
