participant,method,rss_mono,rss_bi,aicc_mono,aicc_bi,delta_aicc,bic_mono,bic_bi,delta_bic,slow_component_supported,bi_params_at_bounds
SP2206,sg,0.3125870806031268,0.24273779290303518,-236.28458311419706,-240.4720941365106,4.187511022313544,-228.22083046085322,-228.93753175162558,0.7167012907723631,True,tau2
SP2206,bw,0.313150527435232,0.17022340851938086,-236.19633877062435,-257.86072791716066,21.66438914653631,-228.1325861172805,-246.32616553227567,18.193579414995156,True,tau2
SP2206,cleaned,0.3125125430983893,0.2421210752794889,-236.29626873233204,-240.59674558390557,4.300476851573535,-228.2325160789882,-229.06218319902055,0.8296671200323544,True,tau2
HS2601,sg,0.21807998636437306,0.24057871132631561,-253.92562107463763,-240.90988469442627,-13.015736380211365,-245.8618684212938,-229.37532230954125,-16.486546111752546,False,
HS2601,bw,0.25587250107440945,0.24392441998773393,-246.0945698312219,-240.23314054266402,-5.861429288557872,-238.03081717787805,-228.698578157779,-9.332239020099053,False,
HS2601,cleaned,0.21452722723718254,0.42878015655939117,-254.73045791318677,-212.5929310092872,-42.137526903899555,-246.66670525984293,-201.0583686244022,-45.608336635440736,False,
FF1107,sg,0.2299358737078159,0.32451352776091125,-251.33163189629593,-226.24516933631787,-25.08646255997806,-243.2678792429521,-214.71060695143285,-28.55727229151924,False,
FF1107,bw,0.23538854160419953,0.325357999289832,-250.1832160895187,-226.11782377189465,-24.06539231762406,-242.11946343617487,-214.58326138700963,-27.53620204916524,False,
FF1107,cleaned,0.21467936035446808,0.1921915914176436,-254.69572161940803,-251.91305870142654,-2.7826629179814972,-246.6319689660642,-240.37849631654151,-6.253472649522678,False,
HL1301,sg,0.38802343455126315,0.38803088622611626,-225.6916333700952,-217.48604121114474,-8.205592158950452,-217.62788071675135,-205.95147882625972,-11.676401890491633,False,A2 TD2
HL1301,bw,0.596889647665285,0.5968897887418142,-204.58897411561443,-196.38431137153873,-8.204662744075705,-196.5252214622706,-184.8497489866537,-11.675472475616886,False,A2 tau2 TD2
HL1301,cleaned,0.33931215561864964,0.3405907745066198,-232.26475010073443,-223.87580086657553,-8.3889492341589,-224.2009974473906,-212.3412384816905,-11.859758965700081,False,
GC2408,sg,0.3756786313852022,0.34654914924286234,-227.27588480651505,-223.02599525958942,-4.24988954692563,-219.2121321531712,-211.4914328747044,-7.72069927846681,False,tau2
GC2408,bw,0.38880878507663297,0.3525828133069301,-225.5925587233927,-222.18021250220045,-3.4123462211922515,-217.52880607004886,-210.64565011731543,-6.883155952733432,False,tau2
GC2408,cleaned,0.36979013193099247,0.4654565836961997,-228.0500083882551,-208.57128088878588,-19.478727499469215,-219.98625573491125,-197.03671850390086,-22.949537231010396,False,
LB0303,sg,0.5278364462633038,0.7301806899957427,-210.6133171724166,-186.50789409878206,-24.10542307363454,-202.54956451907276,-174.97333171389704,-27.57623280517572,False,tau2
LB0303,bw,0.8149275828680083,0.7246645160118674,-189.3319909984368,-186.8794715275827,-2.4525194708540994,-181.26823834509295,-175.34490914269767,-5.92332920239528,False,tau2
LB0303,cleaned,0.8082567173199517,0.7177394413252093,-189.7347477921333,-187.34997948085964,-2.3847683112736604,-181.67099513878946,-175.81541709597462,-5.855578042814841,False,tau2
SE1208,sg,0.735683802742099,0.6423315516083749,-194.34463432201355,-192.7890775879509,-1.555556734062634,-186.2808816686697,-181.2545152030659,-5.0263664656038145,False,TD1
SE1208,bw,0.7427315500013458,0.639581592555894,-193.87745541850913,-192.99930743212337,-0.8781479863857555,-185.8137027651653,-181.46474504723835,-4.348957717926936,False,
SE1208,cleaned,0.7319717091864755,0.6245943896702256,-194.59250307679434,-194.16118261346068,-0.4313204633336625,-186.5287504234505,-182.62662022857566,-3.902130194874843,False,
LA1404,sg,0.9247934759758677,0.5574693869043443,-183.13490271526175,-199.73223134577734,16.59732863051559,-175.0711500619179,-188.19766896089232,13.12651889897441,True,TD1 tau2
LA1404,bw,0.9332434729463424,0.5659250194426442,-182.6892143705099,-198.99458512525499,16.3053707547451,-174.62546171716605,-187.46002274036996,12.834561023203918,True,TD1 tau2
LA1404,cleaned,0.9239147862961051,0.5557357748780879,-183.1814820468191,-199.8848484210031,16.703366374184014,-175.11772939347526,-188.3502860361181,13.232556642642834,True,TD1 tau2
KA1406,sg,0.6357094001460166,0.5548123033406654,-201.5015189356544,-199.96633992353392,-1.5351790121204658,-193.43776628231055,-188.4317775386489,-5.005988743661646,False,tau2
KA1406,bw,0.6244856076633053,0.5443513085590771,-202.37436856723988,-200.8990567929047,-1.4753117743351822,-194.31061591389604,-189.36449440801968,-4.946121505876363,False,
KA1406,cleaned,0.6009608295894519,0.5378505092449162,-204.25589634639178,-201.48775105056703,-2.768145295824752,-196.19214369304794,-189.953188665682,-6.238955027365932,False,
WM0403,sg,0.33693683776569483,0.33388069940741466,-232.60897554017035,-224.8507999309558,-7.758175609214561,-224.5452228868265,-213.31623754607077,-11.228985340755742,False,
WM0403,bw,0.33600477412776575,0.33536939572818975,-232.7447113801195,-224.63280596857138,-8.111905411548122,-224.68095872677566,-213.09824358368635,-11.582715143089303,False,
WM0403,cleaned,0.4020727226217458,0.3200090938621311,-223.94883869952034,-226.9300820057976,2.981243306277264,-215.8850860461765,-215.39551962091258,-0.48956642526391647,True,
JP1906,sg,0.23314830774142625,0.13693785155274554,-250.6517909559074,-268.5223712320467,17.870580276139293,-242.58803830256355,-256.9878088471617,14.39977054459817,True,tau2
JP1906,bw,0.2329975493135104,0.13677986415458154,-250.68348559874775,-268.57893595493795,17.895450356190196,-242.6197329454039,-257.044373570053,14.424640624649072,True,tau2
JP1906,cleaned,0.23281012966929163,0.1365536175013264,-250.72291630578266,-268.66005363195416,17.937137326171495,-242.65916365243882,-257.1254912470692,14.466327594630371,True,tau2
SJ1006,sg,1.1122825210073415,0.7237472861328875,-174.08954853876156,-186.94153159918855,12.851983060426988,-166.02579588541772,-175.40696921430353,9.381173328885808,True,tau2
SJ1006,bw,1.1876473201650153,0.6428302022057056,-170.8771046626149,-192.75105298844372,21.87394832582882,-162.81335200927106,-181.2164906035587,18.40313859428764,True,tau2
SJ1006,cleaned,1.063853257694358,0.63457687139863,-176.270869950548,-193.38424008344992,17.113370132901935,-168.20711729720415,-181.8496776985649,13.642560401360754,True,
ST0412,sg,0.9071748574271281,0.56600324039156,-184.07742875279106,-198.98781291779454,14.910384165003478,-176.01367609944722,-187.45325053290952,11.439574433462298,True,TD1
ST0412,bw,0.9068654416892119,0.5652889752920398,-184.0941443365764,-199.04968728419047,14.955542947614077,-176.03039168323255,-187.51512489930545,11.484733216072897,True,TD1
ST0412,cleaned,0.9067532355445846,0.5646685189375104,-184.10020746457872,-199.10349880291164,15.003291338332929,-176.03645481123488,-187.56893641802662,11.532481606791748,True,TD1
RJ1612,sg,1.2481683953499534,0.32284559368095894,-168.44166331242022,-226.49766890900435,58.05600559658413,-160.37791065907638,-214.96310652411933,54.58519586504295,True,tau2
RJ1612,bw,1.2505802236198227,0.36778785331408853,-168.34707226710526,-220.11139524503818,51.76432297793292,-160.28331961376142,-208.57683286015316,48.29351324639174,True,tau2
RJ1612,cleaned,1.247539917728481,0.31073909592696675,-168.4663420009847,-228.3704749057822,59.90413290479751,-160.40258934764086,-216.83591252089718,56.433323173256326,True,tau2
SL2009,sg,1.7544770929701146,1.1485369367731426,-151.75747364013313,-164.31323833533222,12.555764695199088,-143.6937209867893,-152.7786759504472,9.084954963657907,True,tau2
SL2009,bw,1.7652246223634236,1.1531627967555298,-151.45822636314813,-164.1162817636169,12.658055400468783,-143.3944737098043,-152.5817193787319,9.187245668927602,True,tau2
SL2009,cleaned,1.7441363436786326,1.1456826782698164,-152.04713021406704,-164.4351610474423,12.388030833375268,-143.9833775607232,-152.9005986625573,8.917221101834087,True,tau2
AA0509,sg,0.2380070389675395,0.21999071177781573,-249.64114225266454,-245.29352229034677,-4.347619962317765,-241.5773895993207,-233.75895990546175,-7.8184296938589455,False,
AA0509,bw,0.2386878012514514,0.22000092519287281,-249.50118951236166,-245.2912474410277,-4.2099420713339555,-241.43743685901782,-233.7566850561427,-7.680751802875136,False,
AA0509,cleaned,0.2854078787152925,0.2107906424800876,-240.74180822428374,-247.38679744421538,6.644989219931631,-232.6780555709399,-235.85223505933035,3.1741794883904504,True,
IV2507,sg,0.7136277885083695,0.5479227875220155,-195.8361398719907,-200.5786187389633,4.742478866972618,-187.77238721864686,-189.0440563540783,1.2716691354314378,True,tau2
IV2507,bw,0.7100639974067928,0.560590429404838,-196.0814543852063,-199.45866551767614,3.3772111324698244,-188.01770173186247,-187.92410313279112,-0.09359859907135615,True,tau2
IV2507,cleaned,0.7051647968041111,0.5620814639425573,-196.42070947876147,-199.32851041940023,2.907800940638765,-188.35695682541763,-187.7939480345152,-0.5630087909024155,True,
PS2810,sg,0.6656069765753863,0.30587977872772254,-199.24958525713387,-229.1427881833225,29.89320292618862,-191.18583260379003,-217.60822579843747,26.42239319464744,True,
PS2810,bw,0.6797716904551295,0.31586135432495116,-198.2177618096474,-227.56933838417623,29.35157657452882,-190.15400915630357,-216.0347759992912,25.88076684298764,True,
PS2810,cleaned,0.6633200190845628,0.3013311634630302,-199.4182341415946,-229.8769196082907,30.458685466696096,-191.35448148825077,-218.34235722340568,26.987875735154915,True,
VK3004,sg,0.38190764539863037,0.31903739859260044,-226.47009258352543,-227.07909496639957,0.609002382874138,-218.4063399301816,-215.54453258151455,-2.8618073486670426,False,
VK3004,bw,0.4127248088529694,0.34150875745580744,-222.66758306483067,-223.74391046184851,1.0763273970178489,-214.60383041148683,-212.2093480769635,-2.3944823345233317,False,tau2
VK3004,cleaned,0.36175044541766993,0.28773712293698617,-229.1270791972967,-232.13888578677313,3.0118065894764356,-221.06332654395285,-220.6043234018881,-0.4590031420647449,True,
SF2004,sg,1.5969211736132805,1.5233666014407674,-156.36804783044727,-150.47397961145379,-5.894068218993482,-148.30429517710343,-138.93941722656876,-9.364877950534662,False,tau2
