,sg,sg,sg,sg,bw,bw,bw,bw,cleaned,cleaned,cleaned,cleaned
,A0,A1,tau1,TD1,A0,A1,tau1,TD1,A0,A1,tau1,TD1
SP2206,0.49875698198661994,2.4360107991100204,31.405100117755943,2.2873466286417095e-16,0.47730584776579305,2.4565570311661533,31.17361781493746,1.127417014413145e-08,0.4952893838266932,2.439605037574656,31.436533175094304,4.6853200117056484e-20
HS2601,0.5753405642204953,2.3952863270393348,27.337941469657753,1.1525688536796976,0.7854852819601078,2.1798517734484357,25.68916495702647,5.209254502661672,0.6115999858702444,2.3573447868827397,26.82455847184943,2.0759012182169236
FF1107,0.659317858810807,2.1073691517409516,30.225439776332653,5.432324791669262,0.6798373629598762,2.0875417459066057,30.227321048182926,5.779067195751658,0.5536000259509927,2.216015731736301,31.052963135189085,3.1588823515546793
HL1301,0.8703690430409328,2.287800032076858,25.048480677227193,6.921505152057621,1.0570419999341039,2.098323130578702,23.59833902919557,10.507249098368193,0.7951795366011507,2.3650081865886787,25.880045143726303,5.00000003736636
GC2408,0.9930237798687412,2.3134795441483598,36.19859141914942,1.0680181063856375,1.1659651802314634,2.1330413997530515,34.524234620600375,5.223881822952503,1.043299965066816,2.258800699553216,35.2738742961628,2.5996613282153
LB0303,0.8066941871558942,2.6377013440432093,33.62828415582458,1.6113054390689994e-12,1.234256449033401,2.1922121698869876,28.91867255502973,10.006673202520943,1.2509666639877248,2.1729509560752724,27.969349269850735,11.217594384464093
SE1208,0.7708143172206293,3.7510094877798306,39.45275736752789,8.37120485257487e-20,0.8268991019880745,3.699445407189161,40.18822024912381,7.991808796903527e-18,0.8177999357558068,3.7006281390403846,38.99378297287554,0.8442333667005295
LA1404,1.3376976698016165,3.1027832972579863,35.14038571911101,8.671879544199973e-18,1.2594038452046923,3.1764942293941703,34.29554784173975,1.3155651217839911e-17,1.3276319943046129,3.1145778830276094,35.28272886284717,4.679038658301038e-17
KA1406,1.161099997967618,3.2487786991454257,30.33698259964313,10.73438857410321,1.1813019509201528,3.2260771914657753,30.100695000661148,11.07380535647501,1.2251000069718658,3.1749346808788665,28.741670993693923,12.602822657777141
WM0403,0.7411023475518002,2.4366573217432923,29.567153082318097,1.838887541232254,0.6915668686428332,2.4870027745472103,29.487325511645047,1.3962899596364693,0.9238999892505383,2.2476840873617525,27.867470349334265,5.68329860189993
JP1906,1.4289325415788368,2.4882234360896596,25.22819238667957,11.654612867475915,1.426084925348462,2.4902396259925283,25.09676988616202,11.670576122607462,1.4314999971426943,2.484176593004341,24.942487314844406,11.812450748216547
SJ1006,1.8250821583456307,3.1376184647846386,30.211815163551687,8.56432367894405,1.9354491647778818,3.0200181734291265,29.06965833552585,10.489373745294303,1.7265999919466475,3.2469552101469294,32.025754674532045,6.155478386773161
ST0412,1.1483276134563853,2.6292285472578696,42.645756462773186,6.1842960966736905e-21,1.1333523358596502,2.6410940203499678,42.409897662829124,5.249930994381363e-16,1.1384001141123834,2.638508036355416,42.60271173195166,2.2141124587482027e-16
RJ1612,1.0274271733145224,3.2944476333111603,31.221726137885362,3.899302828179399e-15,1.0605882822481105,3.264135618921928,31.66988215452672,6.439202359296159e-14,1.0405001444018709,3.279483961671872,30.949978609014355,0.34271262349730514
SL2009,1.5012499740780905,2.2515998261602035,29.486653807452527,8.519816217872739,1.536442393617697,2.2143755534020513,29.299972686131646,9.07170992670568,1.45155003810404,2.3056063985438056,30.558722538671514,7.007161456266804
AA0509,0.951980954254157,1.8746662390875761,29.386863113474533,6.092962732486255,0.9340923458004347,1.8914212926127023,29.098617908053708,6.0717993190842625,1.067533331335363,1.750102639204681,26.375026696801097,10.575241501774366
IV2507,1.1391145210435536,3.1118295778217524,38.40198716995227,1.665538925978246,1.2024948705166898,3.049097048138302,38.46303183535804,2.423162145257041,1.202599999834694,3.0417104695464516,37.4540986331404,3.1001256336102267
PS2810,1.3197737496789044,3.227809000005677,27.669757741211065,3.199289314534478,1.4671810374449883,3.074975891914262,26.82915437331295,5.106714614972265,1.3484999495676206,3.1959135344487795,27.223247980771493,3.717193430828712
VK3004,0.7408333543326957,2.718121877371822,29.91635304644663,5.959929046546388,0.8137784798143257,2.6440017679795114,29.984126003151232,6.6407869542787825,0.7077308354142621,2.7543856960701523,30.554578262582847,4.999999988932649
SF2004,1.3641000030621884,2.7767134470560677,18.48488994878349,7.053223740286487,1.3643317504639365,2.7769652494492294,18.34063824842175,7.252473021759207,1.2984000133603137,2.848921895591059,19.94082912828993,5.349438871207078
EF0410,1.456952936587109,2.6992409921395724,35.17487902290348,1.041837545482831e-15,1.360711979556067,2.7890376172866707,33.93849333182543,4.3636926240937976e-17,1.4503893674556596,2.7067768819397693,35.31997816723279,4.4023449228022405e-14
FJ1809,0.7486333923183337,1.769000663532238,29.563045779742257,0.8942347749806536,0.8327550626782853,1.684724103321254,29.816941692226873,2.0104253719988536,0.8328000251583912,1.679010499733816,27.759175754034025,3.625553866421116
AL1606,0.5921014984818035,3.71027474449313,39.8284570742475,5.1083306082008156e-20,0.6246158440912813,3.6852452009509267,40.58639713288722,1.0811755223497168e-15,0.578770116448271,3.7247985664418075,39.847007223720034,7.796914842658154e-17
FY2803,0.38091614198390117,3.925320455137153,26.25248123121258,2.321269673531664e-17,0.4723109688114213,3.840017647437076,27.099108168212915,5.500057045991005e-19,0.38056014933410603,3.926870827390205,26.346672520372255,9.007150637167926e-17
BC0611,0.7071043310322004,2.142138266797857,28.897025695022045,3.7250457612325e-18,0.7852014999182709,2.065231266369841,29.185175288201915,0.8726376604158769,0.7852000633075216,2.0593454936823887,27.4792517643796,2.2453190547809085
MJP1611,1.7359523726264041,2.410861393948779,33.37033972215082,12.653071858357155,1.6018748880290765,2.5413801936702143,32.96273672430784,11.17986329971213,1.7633333356194,2.3724132583704027,31.05263413491969,14.82824625551886
ZM311,0.8193038174393065,3.790182816227385,35.13719913655306,7.976392434902451e-19,0.8582480520827743,3.7492604613226033,34.818502402199634,0.7341287236837903,1.4397666700928102,3.1296364213736227,28.482258434549777,11.66890917417554
BE1110,1.2716666720062773,2.0162729517485998,36.24092026067756,8.214593366761235,1.319220501417269,1.967538786145294,36.1403356762763,9.037204729037915,1.2450000079412027,2.046272218568895,37.12171442998364,6.972241764497714
WB2110,1.124852751601665,3.2914839060368317,34.418389209603426,8.24296964248526e-14,1.1004711159303264,3.317938052639904,34.37472808038976,1.0608027947809093e-13,1.1163441538022718,3.3007715410837384,34.48879223361882,6.659705857834566e-14
HA2610,1.354297603478123,3.0005251999531444,31.49776779866774,5.984806164976547,1.3775167862449662,2.976738068466559,31.45557358868692,6.250962305024778,1.3170500036551651,3.040061325202431,31.92612971413629,5.192766314771054
WV0510,1.139047591479722,2.046494677059137,33.80535032382312,5.780435624070986,1.1353573584335843,2.0514319678974258,33.807583935341576,5.775271164580865,1.1399999956575328,2.045950718777872,33.79142010914764,5.839904541374041
KL1507,1.040258322527014,3.5374671092448056,34.77843425240982,5.6147717523598795,1.0176144104784601,3.559297612663183,34.5583021223928,5.642173499395983,1.2777333379487708,3.2787408813690515,31.079008751364313,11.175765498038325
SC2404,0.4496785814552228,4.100986377965481,29.58436561065384,5.452397013238492,0.5400607058593668,4.0130572935591395,29.91671612843706,5.748807473200705,0.4393467562004496,4.111237864775265,29.74998697803963,5.000000326510797
HJ1011,1.1853642944805058,1.8492674490509502,30.293763698528405,10.288950786465048,1.1849394776403297,1.8503609997925718,30.273000321949535,10.331660251045617,1.1924333381084415,1.8408363065638533,29.71757097805285,10.937252992622867
KT1809,1.171973016541221,2.33369763265197,27.953307191749197,11.448617277543649,1.1741946137504506,2.3312099976372727,27.98835936707418,11.451438194277113,1.1369999997867957,2.3732841586129125,29.11256478659151,10.067246167852716
SJ0507,1.043099995969597,1.9523387127368619,28.161495266494057,5.158212567707219,1.2140268086610035,1.7749612095220786,25.656858745189368,10.250415245024808,0.9196000260422291,2.077045153620441,28.72533223292291,2.7466795182084462
PE1605,1.0800904758268788,2.6751785610281082,37.973430104589774,12.322453378942106,1.0889150341717704,2.665375510449583,37.91773221968878,12.4612402019758,1.0587666630897927,2.700074882422285,38.69680962195465,11.453023918033828
