,sg,bw,cleaned
SP2206,3.068998908790849,3.0717636410542815,3.068632980105024
HS2601,2.7601533738802932,2.989765435288232,2.7375781087986577
FF1107,2.9737075595302427,3.0087600172225426,2.8733599654376882
HL1301,3.427885047128666,4.251520673048184,3.2055088552635946
GC2408,3.654461515869133,3.717775669100956,3.62570783490554
LB0303,3.849885988541847,4.783631203110046,4.7640119544718
SE1208,3.2186673038030285,3.234047745805745,3.210536702060094
LA1404,3.6482967250992107,3.664926381647271,3.64656310424075
KA1406,3.2169339618768813,3.1884091434566817,3.1277779372668855
WM0403,3.1600636228491794,3.1556897761375775,3.452024617197046
JP1906,2.5347881730608823,2.533968517797815,2.532949170123187
SJ1006,4.006488709775432,4.139997830517951,3.918295910208791
ST0412,4.30232481991154,4.301591047073745,4.301324921662034
RJ1612,4.407436248317541,4.411692424517366,4.406326492681742
SL2009,6.7445046473674966,6.765130762000549,6.72459948554679
AA0509,3.3019489193906715,3.306667765602341,3.6158335382095523
IV2507,3.7380964074096403,3.728750871445389,3.7158650482409556
PS2810,3.4117744873979965,3.4478861881195657,3.405908189977664
VK3004,2.9233054303699793,3.0389622447929536,2.845113224362344
SF2004,5.165163739648849,5.179453084025716,5.111800328235598
EF0410,4.897985639648638,4.929854608010779,4.896977890569598
FJ1809,3.562819814160044,3.535847957240497,3.4325637823715613
AL1606,4.3299721381678955,4.334796229201909,4.328926533066942
FY2803,3.7981451610939185,3.817720798240545,3.797898447907383
BC0611,4.1079817485648675,4.090549763301551,4.034796797988858
MJP1611,5.16883671869082,5.281427011814597,5.113274421272507
ZM311,3.7599029055899367,3.751308860744777,4.624562531257063
BE1110,4.735694116577688,4.771764903840156,4.719644884047927
WB2110,3.682779562574049,3.683155685237003,3.6818303809558395
HA2610,3.360857321214749,3.374065252255745,3.348611039552286
WV0510,4.3833699758024025,4.383555623522336,4.383287932364064
KL1507,3.3326367759116384,3.333524461056895,3.7100203285636923
SC2404,2.5083807260441073,2.544781492180026,2.4944199049810525
HJ1011,3.5206508404115495,3.5195244826678436,3.5130838237109128
KT1809,3.964558126684002,3.965065274124945,3.9303523188151064
SJ0507,3.6289906099965146,4.675980635173509,3.50230675371788
PE1605,3.3396077544812894,3.344776623089037,3.3262279274497484
