,sg,bw,cleaned
SP2206,47.12421027475033,46.8956343978824,46.80503239131514
HS2601,42.69512952069129,42.59644058641371,42.609201058054
FF1107,48.713085220072344,48.80600647915688,48.13496436524292
HL1301,52.3392377961421,52.84834235403188,52.1264175165478
GC2408,52.73545747084217,53.00043272773235,53.61468451486222
LB0303,52.62654633673267,52.8831298382852,53.00522151136934
SE1208,57.71288405675359,58.07875304832993,57.79072711674415
LA1404,46.48674177485806,46.00408658152896,46.54917685786132
KA1406,56.974053628642935,56.96674838578429,57.46235792593242
WM0403,43.59732224827826,43.12122854230297,43.23286423765213
JP1906,53.16613542073495,53.078716720636386,53.14707863531854
SJ1006,51.608127915899054,51.89874950555986,51.67376808742236
ST0412,51.57793161102394,51.57678534268621,51.246854965360285
RJ1612,37.92160381290124,38.05897151099561,37.45501085937944
SL2009,46.83945047960717,47.132201714882996,47.441080042556564
AA0509,46.73569124641894,46.5025397915516,46.89184168996621
IV2507,47.750900640495814,47.786935036530764,47.39357582186855
PS2810,38.488665169692574,38.36891176103695,38.0145914349113
VK3004,47.90151486768106,48.39717115102527,47.843190374538736
SF2004,39.01087948666334,38.83965145758554,38.53389558266659
EF0410,53.098008230203256,51.950978455840826,51.36707888258372
FJ1809,48.042902536405364,51.17843315212364,47.96691897106744
AL1606,46.195005421073816,46.34182650729384,46.17186127522245
FY2803,42.33127567264379,42.92536310069739,42.2108335932734
BC0611,42.37122580546095,42.73394732064543,42.16096907519141
MJP1611,57.51599114696041,56.45496756567316,57.28815581873306
ZM311,47.136963879955964,47.06333302630854,47.12136551899407
BE1110,43.03991646965455,43.23395100104912,43.017408574988025
WB2110,46.88699466066151,46.56449192852334,46.77189972291103
HA2610,48.780543200980446,48.830176282200284,48.440701703880585
WV0510,46.6987962082789,46.55387228307405,46.683613095958066
KL1507,52.61232962658962,52.44032880666168,52.72634122779976
SC2404,51.17667776238682,51.547452800940526,51.17250057973949
HJ1011,51.88938577484444,51.767294385528174,51.622940911926996
KT1809,52.85584799322905,52.83103472562158,52.970078713007595
SJ0507,53.010463574424506,53.26412151724499,52.72777738991238
PE1605,63.29866253632028,63.32826793258319,63.36660507331363
