,sg,bw,cleaned
SP2206,2.43205353682353,2.432478256789985,2.429592076815552
HS2601,3.3786169483658717,3.378609760037183,3.377794611162504
FF1107,2.864602775764742,2.8710921603814503,2.8581009004455646
HL1301,3.753648742157034,3.796293868066341,3.7528999990365617
GC2408,4.323984616822084,4.321326763093654,4.31600943814689
LB0303,3.511701343061628,3.512856101200406,3.508934295698908
SE1208,3.1503421204312065,3.1604619583922604,3.1502676535775738
LA1404,3.299724639510012,3.314058872201555,3.297509070042257
KA1406,3.219580123669673,3.2193357515507275,3.2154446586830225
WM0403,2.402021878663842,2.4074716916695422,2.3989984387460788
JP1906,3.9388566724082494,3.9391153316462613,3.9386959957262824
SJ1006,3.7039539259333822,3.711060486282881,3.7038946436719233
ST0412,3.8154508539109475,3.8143374294238077,3.813150407711146
RJ1612,2.638691203180931,2.646446268626513,2.634047161207271
SL2009,5.542429690384963,5.543641534714457,5.539607218578212
AA0509,3.8107888460095283,3.8147380529997674,3.810005654508137
IV2507,4.124986473802351,4.129510389255909,4.123393531077476
PS2810,2.9162074064883314,2.9156458291804697,2.9109811953562166
VK3004,3.1561509125822313,3.1814704434100247,3.1558933903515323
SF2004,4.930345903202351,4.928336687857031,4.927025810305203
EF0410,5.805008488608303,5.808419005004284,5.7890779674202815
FJ1809,4.778607393496471,4.851494568884919,4.778433980776688
AL1606,3.424241216918726,3.427494306259754,3.4224997120882885
FY2803,4.975250580718448,4.988300944939488,4.974987634098973
BC0611,4.683616398341015,4.7010998883907815,4.682787036924238
MJP1611,5.108163640176134,5.149792369668891,5.1040160053220065
ZM311,3.7220678060206334,3.720974654027972,3.7208120463640832
BE1110,5.170001064413687,5.176529699670026,5.169536177632827
WB2110,4.824213336236709,4.824728125699817,4.823300697760082
HA2610,2.469499920140456,2.473796865870018,2.467018845266312
WV0510,2.8209766136164762,2.821573843548321,2.820872513772854
KL1507,3.390316180531746,3.3907456525422153,3.3890907939124233
SC2404,3.286760523671172,3.2958128791899908,3.2840788393726985
HJ1011,3.246563163974283,3.245808282054697,3.2449815913906104
KT1809,3.3589998296406014,3.359873741087718,3.358031772051201
SJ0507,3.7972572242330664,3.8090117551486746,3.795448065262695
PE1605,3.328168761947255,3.3287562104918997,3.3280602320867723
